sku,quantity_on_hand,quantity_committed,slot_id
4800575110373,8.00,0,2AOC21
4800575140370,3.00,0,2AOC21
4800575883000,45.00,0,2AOC21
4800575883505,45.00,0,2AOC21
4800575890572,34.00,0,2AOC21
4800575410251,32.00,0,2AOC21
4800575493230,33.00,0,2AOC21
4800575420182,32.00,1.00,2AOC21
4800575421189,27.00,0,2AOC21
4800086040893,91.00,0,2AOB22
4800086040923,94.00,0,2AOB31
4800086040909,97.00,0,2AOB32
4800086040916,9.00,4.00,2AOB22
9300830006595,3.00,2.00,2AOB22
9300830006595,12.00,5.00,2AOB31
9300830006588,22.00,0,2AOB31
8999999005689,14.00,0,2AOB32
8999999005610,21.00,0,2AOB41
8999999005672,11.00,5.00,2AOB42
8999999005597,23.00,0,2AOC11
8999999025984,24.00,11.00,2AOC12
8999999025991,15.00,0,2AOC21
4800086038760,11.00,0,2AOC22
4800086038746,6.00,0,2AOC31
4800086038944,6.00,0,2AOC21
4800086038944,4.00,0,2AOB32
4800086038753,11.00,0,2AOB41
4800086039446,12.00,0,2AOC22
4800086134325,23.00,0,2AOC31
4800086038616,15.00,0,2AOC22
4800086038616,9.00,0,2AOB22
4800086034670,22.00,0,2AOC31
8888077102061,47.00,11.00,2AOB22
8888077101101,150.00,14.00,2AOB22
49771992,150.00,6.00,2AOB31
8888077108308,150.00,5.00,2AOB32
4902777009643,150.00,3.00,2AOB42
4902777237930,150.00,11.00,2AOC11
49770568,150.00,16.00,2AOC12
4902777017761,150.00,5.00,2AOC21
8888077108322,150.00,13.00,2AOC22
8888077103259,46.00,2.00,2AOB31
8888077101125,46.00,11.00,2AOB32
8888077101200,150.00,18.00,2AOC31
4902777235547,50.00,12.00,2AOB41
4902777009728,50.00,0,2AOC11
8994504124312,48.00,5.00,2AOC22
8888077101378,45.00,14.00,2AOC21
8888077108421,46.00,17.00,2AOC22
4800216110144,96.00,0,2AOB22
4800216130043,95.00,0,2AOB22
4800216121058,75.00,0,2AOB22
4800216122437,69.00,0,2AOB22
4800216124929,88.00,0,2AOB22
4800216124943,90.00,0,2AOB22
4800216124967,89.00,0,2AOB22
4800216125179,116.00,0,2AOB22
4800216125193,77.00,0,2AOB22
4800216121720,72.00,0,2AOB22
750515017429,96.00,8.00,2AOB22
750515017405,94.00,5.00,2AOB31
750515021204,95.00,7.00,2AOB32
750515021228,100.00,11.00,2AOB41
750515030152,100.00,10.00,2AOB42
750515030176,96.00,15.00,2AOC12
750515030190,100.00,9.00,2AOC21
750515030008,100.00,14.00,2AOC21
750515018402,98.00,17.00,2AOC22
750515018303,100.00,29.00,2AOC31
750515031029,87.00,0,2AOB31
750515031029,100.00,0,2AOB22
750515031043,288.00,0,2AOB32
750515030039,287.00,17.00,2AOB22
750515030039,300.00,0,2AOC22
750515030039,300.00,0,2AOC21
750515030039,67200.00,0,2AOC31
4807770120213,43.00,0,2AOB32
4807770120251,112.00,0,2AOB32
4807770120435,86.00,0,2AOB22
4807770120787,40.00,0,2AOB31
4807770101748,109.00,0,2AOB31
4807770121593,220.00,0,2AOB31
4807770101694,61.00,20.00,2AOB22
4807770101694,120.00,0,2AOC22
4807770101694,100.00,0,2AOC21
4807770101694,15000.00,0,2AOC31
4807770101861,166.00,0,2AOB31
4807770100703,178.00,0,2AOB22
4807770100703,100.00,0,2AOB32
4807770120107,74.00,0,2AOB31
4807770120107,100.00,0,2AOB32
4807770100468,491.00,0,2AOC22
4807770100468,100.00,0,2AOC21
4807770100468,11.00,11.00,2AOB22
4807770100406,2034.00,8.00,2AOC22
4807770100406,100.00,0,2AOC21
4807770121487,92.00,0,2AOC22
4807770121487,100.00,0,2AOC21
4807770121548,43.00,31.00,2AOB22
4807770121548,220.00,0,2AOC22
4807770121548,100.00,0,2AOB32
4807770121548,100.00,0,2AOC21
4807770121548,5480.00,0,2AOC31
4800016643095,76.00,0,2AOB22
4800016601590,69.00,0,2AOB31
4800016652462,78.00,0,2AOB32
4800016612046,76.00,0,2AOB41
4800016663505,22.00,0,2AOB42
4800016663505,100.00,0,2AOB22
4800016110672,98.00,0,2AOB22
4800016622571,82.00,0,2AOB22
4800016622588,86.00,0,2AOB22
4800016077005,166.00,0,2AOB22
4800016077005,480.00,0,2AOC12
4800016077005,12000.00,0,2AOB31
4800016628269,399.00,0,2AOB22
4800016628269,99.00,0,2AOC21
4800016628269,1000.00,0,2AOB42
4800016628269,3100.00,0,2AOB31
4800016628351,324.00,0,2AOB22
4800016628351,10.00,0,2AOC21
4800016628351,900.00,0,2AOB42
4800016628351,1140.00,0,2AOB41
4800016628351,1200.00,0,2AOC31
4800016083341,190.00,0,2AOB22
4800016083341,3000.00,0,2AOB42
