move_doc_number,from_store_code
228046,820
247480,820
289858,9500
289973,801
290066,820
290067,820
290068,820
290069,820
289950,893
255130,893
255051,884
255053,893
255054,944
255086,975
256057,820
256354,820
256355,820
256371,820
256372,820
256373,820
256391,820
256400,820
256410,820
256420,820
256421,820
