so_no,sku,ordered_qty,allocated_qty
"10554   ",8888077102061,3.00,3.00
"10554   ",8888077103259,4.00,4.00
"10554   ",8888077101125,4.00,4.00
"10554   ",4902777009728,3.00,3.00
"10555   ",8994504124312,2.00,2.00
"10555   ",8888077101378,5.00,5.00
"10555   ",8888077108421,4.00,4.00
"10556   ",4902777235547,3.00,3.00
"10556   ",4902777009728,5.00,5.00
"10556   ",8994504124312,2.00,2.00
"10556   ",8888077101378,4.00,4.00
"10556   ",8888077108421,2.00,2.00
"10557   ",8888077102061,4.00,4.00
"10557   ",8888077101125,4.00,4.00
"10557   ",4902777235547,3.00,3.00
"10557   ",8888077108421,2.00,2.00
"10558   ",4902777009728,3.00,3.00
"10558   ",8994504124312,3.00,3.00
"10558   ",8888077101378,4.00,4.00
"10558   ",8888077108421,5.00,5.00
"10559   ",8888077102061,3.00,3.00
"10559   ",8888077103259,2.00,2.00
"10559   ",8888077101125,3.00,3.00
"10560   ",4902777235547,3.00,3.00
"10560   ",4902777009728,4.00,4.00
"10561   ",8888077101378,4.00,4.00
"10561   ",8888077108421,3.00,3.00
"10562   ",8888077102061,4.00,4.00
"10562   ",8888077101125,4.00,4.00
"10562   ",4902777235547,3.00,3.00
"10563   ",8888077101378,2.00,2.00
"10563   ",8888077108421,5.00,5.00
