sku,quantity_on_hand,quantity_committed,slot_id
900171,91.00,0,"2AOB22  "
900173,94.00,0,"2AOB31  "
900176,97.00,0,"2AOB32  "
900251,3.00,2.00,"2AOB22  "
900251,12.00,5.00,"2AOB31  "
900252,22.00,0,"2AOB31  "
900253,14.00,0,"2AOB32  "
900254,21.00,0,"2AOB41  "
900255,11.00,5.00,"2AOB42  "
900256,23.00,0,"2AOC11  "
900257,24.00,11.00,"2AOC12  "
900258,15.00,0,"2AOC21  "
900259,11.00,0,"2AOC22  "
900260,6.00,0,"2AOC31  "
900261,6.00,0,"2AOC21  "
900261,4.00,0,"2AOB32  "
900262,11.00,0,"2AOB41  "
900263,12.00,0,"2AOC22  "
900264,23.00,0,"2AOC31  "
900265,15.00,0,"2AOC22  "
900265,9.00,0,"2AOB22  "
900266,22.00,0,"2AOC31  "
900286,150.00,14.00,"2AOB22  "
900287,150.00,6.00,"2AOB31  "
900288,150.00,5.00,"2AOB32  "
900290,150.00,3.00,"2AOB42  "
900291,150.00,11.00,"2AOC11  "
900292,150.00,16.00,"2AOC12  "
900293,150.00,5.00,"2AOC21  "
900294,150.00,13.00,"2AOC22  "
900297,150.00,18.00,"2AOC31  "
5000,108.00,0,PCK00002
5000,0,0,PCK00002
123456,50.00,0,PCK00002
123456,0,0,PCK00002
800092,1.00,0,PCK00002
800092,0,0,PCK00002
800161,1.00,0,PCK00002
800161,0,0,PCK00002
800195,1.00,0,PCK00002
800195,0,0,PCK00002
800196,2.00,0,PCK00002
800196,0,0,PCK00002
800212,1.00,0,PCK00002
800212,0,0,PCK00002
800214,1.00,0,PCK00002
800214,0,0,PCK00002
800215,1.00,1.00,PCK00002
900001,3716.00,1066.00,PCK00002
900002,3706.00,963.00,PCK00002
900003,2976.00,964.00,PCK00002
900004,480.00,48.00,PCK00002
900005,432.00,0,PCK00002
900013,2.00,4.00,PCK00002
900013,8.00,8.00,CR000005
900036,744.00,0,PCK00002
900037,744.00,0,PCK00002
900038,11.00,0,PCK00002
900043,166.00,0,PCK00002
900044,168.00,0,PCK00002
900045,167.00,0,PCK00002
900046,498.00,0,PCK00002
900077,8.00,0,PCK00002
900078,10.00,0,PCK00002
900081,12.00,0,PCK00002
900306,0,0,PCK00002
900344,1.00,0,PCK00002
900452,392.00,0,PCK00002
900453,387.00,0,PCK00002
900454,393.00,0,PCK00002
900455,396.00,0,PCK00002
900476,1.00,0,PCK00002
900477,25.00,24.00,PCK00002
900480,420.00,0,PCK00002
900481,615.00,0,PCK00002
900483,5.00,0,PCK00002
900490,10.00,0,CR000007
900492,6.00,0,PCK00002
900496,115.00,6.00,PCK00002
900510,114.00,0,PCK00002
900563,816.00,16.00,PCK00002
900564,829.00,24.00,PCK00002
900565,832.00,16.00,PCK00002
900580,2397.00,24.00,PCK00002
900588,0,0,PCK00002
900594,240.00,0,PCK00002
900595,-8.00,0,PCK00002
900595,240.00,13.00,CR000004
900599,-9.00,0,PCK00002
900599,80.00,13.00,CR000003
900604,-3.00,0,PCK00002
900604,53.00,13.00,CR000002
900769,400.00,0,PCK00002
900770,93500.00,100.00,PCK00002
900771,6048.00,0,PCK00002
900805,1.00,0,PCK00002
900818,1.00,0,PCK00002
900859,5.00,0,PCK00002
900949,1.00,0,PCK00002
900966,2.00,2.00,"1AOA11  "
900967,5.00,5.00,"1AOA12  "
900968,4.00,4.00,"1AOA22  "
900969,4.00,4.00,"1AOA32  "
900969,3.00,3.00,"1AOB11  "
900969,1.00,1.00,"1AOA22  "
900970,6.00,5.00,"1AOA22  "
900972,11.00,11.00,"1AOA31  "
900973,3.00,1.00,"1AOA32  "
900973,3.00,3.00,"1AOA11  "
900974,1.00,1.00,"1AOB11  "
900974,2.00,2.00,"1AOA21  "
900975,12.00,12.00,"1AOA12  "
900976,2.00,2.00,"1AOB12  "
900976,1.00,1.00,"1AOA32  "
901004,3.00,0,PCK00002
901018,24594.00,0,PCK00002
901019,8181.00,0,PCK00002
901074,7.00,0,PCK00002
901075,3.00,0,PCK00002
901094,2.00,0,PCK00002
901106,1.00,0,PCK00002
901115,0,1.00,PCK00002
901115,1.00,2.00,CR000001
901116,61.00,0,CR000001
901116,37.00,0,PCK00002
901117,90.00,0,CR000001
901117,36.00,0,PCK00002
901240,1.00,0,PCK00002
901248,1.00,0,PCK00002
901475,20.00,4.00,PCK00002
901481,180.00,5.00,CR000006
901481,0,5.00,PCK00002
901489,94.00,3.00,CR000006
901489,2.00,5.00,PCK00002
901617,4.00,0,PCK00002
901885,1.00,0,PCK00002
901895,1.00,0,PCK00002
901899,1.00,0,PCK00002
901905,16.00,0,PCK00002
902304,1.00,0,PCK00002
902309,11.00,8.00,"1AOA21  "
902310,18.00,15.00,"1AOB11  "
902311,3.00,3.00,"1AOA11  "
902315,8.00,8.00,"1AOA11  "
902370,140.00,26.00,PCK00002
902371,144.00,29.00,PCK00002
902385,282.00,0,PCK00002
902424,1.00,0,PCK00002
902451,6.00,0,PCK00002
902473,1.00,0,PCK00002
902690,24.00,0,PCK00002
902708,18.00,0,PCK00002
902732,64.00,0,PCK00002
900496,2.00,0,"LOST    "
800215,-1.00,-1.00,PCK00001
900171,0,0,PCK00001
900173,0,0,PCK00001
900176,0,0,PCK00001
900251,-1.00,7.00,PCK00001
900252,2.00,5.00,PCK00001
900253,7.00,9.00,PCK00001
900254,3.00,4.00,PCK00001
900255,3.00,9.00,PCK00001
900256,0,1.00,PCK00001
900257,-3.00,8.00,PCK00001
900258,4.00,8.00,PCK00001
900259,1.00,4.00,PCK00001
900260,0,6.00,PCK00001
900261,2.00,3.00,PCK00001
900262,1.00,1.00,PCK00001
900263,0,3.00,PCK00001
900264,0,3.00,PCK00001
900265,0,2.00,PCK00001
900266,2.00,7.00,PCK00001
900286,0,14.00,PCK00001
