vendor,receiver_no,sku,quantity_ordered,unit_cost
1496,37069,1,30.0000,2.00
1496,37069,2,25.0000,3.00
1496,37070,7,25.0000,2.00
1496,37070,8,25.0000,2.00
30105,20110,902697,103.0000,27.00
30105,20110,902698,103.0000,18.00
50015,20114,901765,56.3500,3.00
50015,20114,901766,56.3500,2.00
30076,20145,902566,81.6500,36.00
30076,20145,902567,64.5500,24.00
90026,20146,800199,42.0000,10.00
90026,20146,800200,31.0000,10.00
90026,20146,800201,40.0000,10.00
90026,20146,800202,46.0000,10.00
30014,20198,900564,50.0000,128.00
30014,20198,900565,47.5000,32.00
30014,20198,900575,19.5833,48.00
30014,20198,900580,23.3750,480.00
30014,20199,900604,74.3333,3.00
30030,20200,901023,103.9500,120.00
30030,20200,901024,103.9500,120.00
