move_doc_number,sku,from_slot_code,quantity_to_letdown,store_code,date_created,sequence_no,group_name
267,8999999005689,2AOB32,2.00,9005,140527,1,GROUP-A
267,8999999005610,2AOB41,1.00,9005,140527,2,GROUP-A
267,8999999005597,2AOC11,2.00,9005,140527,3,GROUP-A
268,4800086038760,2AOC22,3.00,9005,140527,1,GROUP-A
269,9300830006595,2AOB22,2.00,9005,140527,1,GROUP-A
269,9300830006588,2AOB31,1.00,9005,140527,2,GROUP-A
269,8999999005689,2AOB32,3.00,9005,140527,3,GROUP-A
270,9300830006595,2AOB22,1.00,9005,140527,1,GROUP-A
270,9300830006588,2AOB31,2.00,9005,140527,2,GROUP-A
270,8999999005689,2AOB32,2.00,9005,140527,3,GROUP-A
271,9300830006595,2AOB22,1.00,9005,140527,1,GROUP-A
271,9300830006588,2AOB31,2.00,9005,140527,2,GROUP-A
271,8999999005689,2AOB32,1.00,9005,140527,3,GROUP-A
