move_doc_number,sku,from_slot_code,quantity_to_letdown,store_code,date_created,sequence_no,group_name
325,750515017429,2AOB22,3.00,9005,140620,1,GROUP-A
325,750515017405,2AOB31,3.00,9005,140620,2,GROUP-A
325,750515021204,2AOB32,4.00,9005,140620,3,GROUP-A
325,750515021228,2AOB41,5.00,9005,140620,4,GROUP-A
325,750515030176,2AOC12,5.00,9005,140620,5,GROUP-A
325,750515018402,2AOC22,2.00,9005,140620,6,GROUP-A
325,750515018303,2AOC31,7.00,9005,140620,7,GROUP-A
326,750515021204,2AOB32,3.00,9005,140620,1,GROUP-A
326,750515021228,2AOB41,2.00,9005,140620,2,GROUP-A
326,750515030152,2AOB42,5.00,9005,140620,3,GROUP-A
326,750515018402,2AOC22,4.00,9005,140620,4,GROUP-A
326,750515018303,2AOC31,6.00,9005,140620,5,GROUP-A
330,750515017429,2AOB22,4.00,9005,140620,1,GROUP-B
330,750515017405,2AOB31,6.00,9005,140620,2,GROUP-B
330,750515021204,2AOB32,5.00,9005,140620,3,GROUP-B
330,750515030176,2AOC12,4.00,9005,140620,4,GROUP-B
330,750515018402,2AOC22,2.00,9005,140620,5,GROUP-B
331,750515017429,2AOB22,5.00,9005,140620,1,GROUP-B
331,750515017405,2AOB31,2.00,9005,140620,2,GROUP-B
331,750515021228,2AOB41,4.00,9005,140620,3,GROUP-B
331,750515030152,2AOB42,5.00,9005,140620,4,GROUP-B
331,750515030176,2AOC12,6.00,9005,140620,5,GROUP-B
331,750515030190,2AOC21,5.00,9005,140620,6,GROUP-B
331,750515030008,2AOC21,9.00,9005,140620,7,GROUP-B
331,750515018402,2AOC22,5.00,9005,140620,8,GROUP-B
331,750515018303,2AOC31,11.00,9005,140620,9,GROUP-B
332,750515030176,2AOC12,4.00,9005,140620,1,GROUP-B
332,750515030190,2AOC21,4.00,9005,140620,2,GROUP-B
332,750515030008,2AOC21,5.00,9005,140620,3,GROUP-B
332,750515018402,2AOC22,6.00,9005,140620,4,GROUP-B
332,750515018303,2AOC31,5.00,9005,140620,5,GROUP-B
