so_no,store_code,so_status
6372,7000,S
6411,7000,S
6417,7000,S
6421,7000,S
6428,7000,S
6430,7000,S
6431,7000,S
6432,7000,S
6434,7000,S
6435,7000,S
6436,7000,S
6437,7000,S
6438,7000,S
6439,7000,S
6440,7000,S
6441,7000,S
6442,7000,S
6443,7000,S
6444,7000,S
6445,7000,S
