move_doc_number,sku,from_slot_code,quantity_to_letdown,store_code,date_created,sequence_no,group_name
307,8888077102061,2AOB22,3.00,9005,140618,1,GROUP-A
307,8888077103259,2AOB31,4.00,9005,140618,2,GROUP-A
307,8888077101125,2AOB32,4.00,9005,140618,3,GROUP-A
307,8888077101378,2AOC21,5.00,9005,140618,4,GROUP-A
307,8994504124312,2AOC22,2.00,9005,140618,5,GROUP-A
307,8888077108421,2AOC22,4.00,9005,140618,6,GROUP-A
308,4902777235547,2AOB41,3.00,9005,140618,1,GROUP-A
308,8888077101378,2AOC21,4.00,9005,140618,2,GROUP-A
308,8994504124312,2AOC22,2.00,9005,140618,3,GROUP-A
308,8888077108421,2AOC22,2.00,9005,140618,4,GROUP-A
309,8888077102061,2AOB22,4.00,9005,140618,1,GROUP-A
309,8888077101125,2AOB32,4.00,9005,140618,2,GROUP-A
309,4902777235547,2AOB41,3.00,9005,140618,3,GROUP-A
309,8888077108421,2AOC22,2.00,9005,140618,4,GROUP-A
313,8888077101378,2AOC21,4.00,9005,140618,1,GROUP-B
313,8994504124312,2AOC22,3.00,9005,140618,2,GROUP-B
313,8888077108421,2AOC22,5.00,9005,140618,3,GROUP-B
314,8888077102061,2AOB22,3.00,9005,140618,1,GROUP-B
314,8888077103259,2AOB31,2.00,9005,140618,2,GROUP-B
314,8888077101125,2AOB32,3.00,9005,140618,3,GROUP-B
314,4902777235547,2AOB41,3.00,9005,140618,4,GROUP-B
314,8888077101378,2AOC21,4.00,9005,140618,5,GROUP-B
314,8888077108421,2AOC22,3.00,9005,140618,6,GROUP-B
315,8888077102061,2AOB22,4.00,9005,140618,1,GROUP-B
315,8888077101125,2AOB32,4.00,9005,140618,2,GROUP-B
315,4902777235547,2AOB41,3.00,9005,140618,3,GROUP-B
315,8888077101378,2AOC21,2.00,9005,140618,4,GROUP-B
315,8888077108421,2AOC22,5.00,9005,140618,5,GROUP-B
