sku,quantity_on_hand,quantity_committed,slot_id
4800086040893,91.00,0,2AOB22
4800086040923,94.00,0,2AOB31
4800086040909,97.00,0,2AOB32
9300830006595,3.00,2.00,2AOB22
9300830006595,12.00,5.00,2AOB31
9300830006588,22.00,0,2AOB31
8999999005689,14.00,0,2AOB32
8999999005610,21.00,0,2AOB41
8999999005672,11.00,5.00,2AOB42
8999999005597,23.00,0,2AOC11
8999999025984,24.00,11.00,2AOC12
8999999025991,15.00,0,2AOC21
4800086038760,11.00,0,2AOC22
4800086038746,6.00,0,2AOC31
4800086038944,6.00,0,2AOC21
4800086038944,4.00,0,2AOB32
4800086038753,11.00,0,2AOB41
4800086039446,12.00,0,2AOC22
4800086134325,23.00,0,2AOC31
4800086038616,15.00,0,2AOC22
4800086038616,9.00,0,2AOB22
4800086034670,22.00,0,2AOC31
8888077102061,47.00,11.00,2AOB22
8888077101101,150.00,14.00,2AOB22
49771992,150.00,6.00,2AOB31
8888077108308,150.00,5.00,2AOB32
4902777009643,150.00,3.00,2AOB42
4902777237930,150.00,11.00,2AOC11
49770568,150.00,16.00,2AOC12
4902777017761,150.00,5.00,2AOC21
8888077108322,150.00,13.00,2AOC22
8888077103259,46.00,2.00,2AOB31
8888077101125,46.00,11.00,2AOB32
8888077101200,150.00,18.00,2AOC31
4902777235547,50.00,12.00,2AOB41
4902777009728,50.00,0,2AOC11
8994504124312,48.00,5.00,2AOC22
8888077101378,45.00,14.00,2AOC21
8888077108421,46.00,17.00,2AOC22
750515017429,100.00,12.00,2AOB22
750515017405,100.00,11.00,2AOB31
750515021204,100.00,12.00,2AOB32
750515021228,100.00,11.00,2AOB41
750515030152,100.00,10.00,2AOB42
750515030176,100.00,19.00,2AOC12
750515030190,100.00,9.00,2AOC21
750515030008,100.00,14.00,2AOC21
750515018402,100.00,19.00,2AOC22
750515018303,100.00,29.00,2AOC31
1234567,108.00,0,PCK00002
1234567,0,0,PCK00002
1010111112120,50.00,0,PCK00002
1010111112120,0,0,PCK00002
2800092900084,1.00,0,PCK00002
2800092900084,0,0,PCK00002
2800161900083,1.00,0,PCK00002
2800161900083,0,0,PCK00002
2800195209992,1.00,0,PCK00002
2800195209992,0,0,PCK00002
2800196209991,2.00,0,PCK00002
2800196209991,0,0,PCK00002
2800212209998,1.00,0,PCK00002
2800212209998,0,0,PCK00002
2800214209996,1.00,0,PCK00002
2800214209996,0,0,PCK00002
2800215209995,1.00,1.00,PCK00002
4800575110373,3716.00,1066.00,PCK00002
4800575140370,3706.00,963.00,PCK00002
4800575120303,2976.00,964.00,PCK00002
4800575883000,480.00,48.00,PCK00002
4800575883505,432.00,0,PCK00002
4800818807503,2.00,4.00,PCK00002
4800818807503,8.00,8.00,CR000005
7622300601768,744.00,0,PCK00002
7622300559991,744.00,0,PCK00002
7622300704148,11.00,0,PCK00002
8992760221028,166.00,0,PCK00002
4893049130007,168.00,0,PCK00002
6901668062093,167.00,0,PCK00002
8992760221066,498.00,0,PCK00002
4800054111228,8.00,0,PCK00002
4800054111280,10.00,0,PCK00002
4800130100023,12.00,0,PCK00002
49770568,58.00,0,CR000005
49770568,15.00,0,CR000002
49770568,22.00,0,CR000001
49770568,50.00,0,CR000003
4902777017761,2.00,0,CR000004
4902777017761,9.00,0,CR000007
4803925033100,0,0,PCK00002
4803925280016,1.00,0,PCK00002
8850389100684,392.00,0,PCK00002
8850389101391,387.00,0,PCK00002
8850389100691,393.00,0,PCK00002
8850389106273,396.00,0,PCK00002
4800014148080,1.00,0,PCK00002
4800014141081,25.00,24.00,PCK00002
4800014144082,420.00,0,PCK00002
4800014147083,615.00,0,PCK00002
4800220503253,5.00,0,PCK00002
4800014700004,10.00,0,CR000007
4800014145089,6.00,0,PCK00002
4800611546760,115.00,6.00,PCK00002
4800611000279,114.00,0,PCK00002
4801981112005,816.00,16.00,PCK00002
4801981112968,829.00,24.00,PCK00002
4801981112647,832.00,16.00,PCK00002
4801981120963,2397.00,24.00,PCK00002
4800602024833,0,0,PCK00002
4800602016937,240.00,0,PCK00002
4800602012939,-8.00,0,PCK00002
4800602012939,240.00,13.00,CR000004
4800099101048,-9.00,0,PCK00002
4800099101048,80.00,13.00,CR000003
4800099101178,-3.00,0,PCK00002
4800099101178,53.00,13.00,CR000002
8851096020012,400.00,0,PCK00002
50604159,93500.00,100.00,PCK00002
50017898,6048.00,0,PCK00002
4800216110045,1.00,0,PCK00002
4807770270017,1.00,0,PCK00002
4807770120725,5.00,0,PCK00002
4800016652134,1.00,0,PCK00002
4800010075243,2.00,2.00,1AOA11
4800010075069,5.00,5.00,1AOA12
4800016076282,4.00,4.00,1AOA22
4800016076299,4.00,4.00,1AOA32
4800016076299,3.00,3.00,1AOB11
4800016076299,1.00,1.00,1AOA22
4800016077081,6.00,5.00,1AOA22
4800016078590,11.00,11.00,1AOA31
4800010076073,3.00,1.00,1AOA32
4800010076073,3.00,3.00,1AOA11
4800016076756,1.00,1.00,1AOB11
4800016076756,2.00,2.00,1AOA21
4800016078569,12.00,12.00,1AOA12
4800016113048,2.00,2.00,1AOB12
4800016113048,1.00,1.00,1AOA32
4800016138584,3.00,0,PCK00002
4801958145005,24594.00,0,PCK00002
4801958390108,8181.00,0,PCK00002
4800042112510,7.00,0,PCK00002
4800042112138,3.00,0,PCK00002
4800449555514,2.00,0,PCK00002
4800523223827,1.00,0,PCK00002
4801688111011,0,1.00,PCK00002
4801688111011,1.00,2.00,CR000001
4801688103511,61.00,0,CR000001
4801688103511,37.00,0,PCK00002
4801688880108,90.00,0,CR000001
4801688880108,36.00,0,PCK00002
4800194106016,1.00,0,PCK00002
4800194151702,1.00,0,PCK00002
37600130783,20.00,4.00,PCK00002
4800047840029,180.00,5.00,CR000006
4800047840029,0,5.00,PCK00002
4800047820212,94.00,3.00,CR000006
4800047820212,2.00,5.00,PCK00002
4807788519221,4.00,0,PCK00002
9556001054005,1.00,0,PCK00002
4800361383301,1.00,0,PCK00002
9556001027252,1.00,0,PCK00002
4800361385671,16.00,0,PCK00002
28400014618,1.00,0,PCK00002
4800016083877,11.00,8.00,1AOA21
4800016083921,18.00,15.00,1AOB11
4800016083907,3.00,3.00,1AOA11
4800016082634,8.00,8.00,1AOA11
4800611411471,140.00,26.00,PCK00002
4800611131515,144.00,29.00,PCK00002
4806505400422,282.00,0,PCK00002
7702018017515,1.00,0,PCK00002
4801032169040,6.00,0,PCK00002
4800016072413,1.00,0,PCK00002
8855044004000,24.00,0,PCK00002
39000085892,18.00,0,PCK00002
8801104900034,64.00,0,PCK00002
4800575110373,-1.00,0,LOST
4800575140370,-1.00,0,LOST
4800575120303,-1.00,0,LOST
4800611546760,2.00,0,LOST
4801688103511,1.00,0,LOST
4801688880108,1.00,0,LOST
2800215209995,-1.00,-1.00,PCK00001
4800086040893,0,0,PCK00001
4800086040923,0,0,PCK00001
4800086040909,0,0,PCK00001
9300830006595,-1.00,7.00,PCK00001
9300830006588,2.00,5.00,PCK00001
8999999005689,7.00,9.00,PCK00001
8999999005610,3.00,4.00,PCK00001
8999999005672,3.00,9.00,PCK00001
8999999005597,0,1.00,PCK00001
8999999025984,-3.00,8.00,PCK00001
8999999025991,4.00,8.00,PCK00001
4800086038760,1.00,4.00,PCK00001
4800086038746,0,6.00,PCK00001
4800086038944,2.00,3.00,PCK00001
4800086038753,1.00,1.00,PCK00001
4800086039446,0,3.00,PCK00001
4800086134325,0,3.00,PCK00001
4800086038616,0,2.00,PCK00001
4800086034670,2.00,7.00,PCK00001
8888077102061,-4.00,7.00,PCK00001
8888077101101,0,14.00,PCK00001
49771992,0,6.00,PCK00001
8888077108308,0,5.00,PCK00001
8888077101224,0,0,PCK00001
4902777009643,0,3.00,PCK00001
4902777237930,0,11.00,PCK00001
49770568,0,16.00,PCK00001
4902777017761,0,5.00,PCK00001
8888077108322,0,13.00,PCK00001
8888077103259,-2.00,0,PCK00001
8888077101125,-4.00,7.00,PCK00001
8888077101200,0,18.00,PCK00001
4902777235547,-3.00,9.00,PCK00001
4902777009728,0,0,PCK00001
8994504124312,0,5.00,PCK00001
8888077101378,3.00,17.00,PCK00001
8888077108421,-5.00,12.00,PCK00001
750515017429,0,12.00,PCK00001
750515017405,0,11.00,PCK00001
