store_code,store_name,address1,address2,address3,city
7000,"CCSI Distribution Center","FTI Taguig",,,"Taguig City"
7010,"CCSI Warehouse - Damaged Loc","FTI  Taguig",,,"Taguig City"
7020,"CCSI Warehouse - Expiring",Taguig,,,"Taguig City"
7100,"GAP - Glorietta","Ayala Center",Makati,,"Makati City"
7101,"BR - RCC Makati","Ayala Ave",,,Makati
7102,"OLD NAVY - RCC MAKATI","Ayala Ave",,,Makati
7105,"BR - RCC Makati Sale Location","Ayala Ave",,,Makati
7111,"BR - Greenbelt5",makati,,,makati
7200,"GAP - Shangri-La Plaza",Mandaluyong,,,Mandaluyong
7202,"OLD NAVY - RCC TOWER",Mandaluyong,,,Mandaluyong
7210,"GAP - Megamall",Mandaluyong,"Megamall Bldg",,Mandaluyong
7212,"OLD NAVY - Megamall","Julia Vargas st. Mandaluyong","SM Megamall",,Mandaluyong
7219,"Gap Outlet-Robinsons Metroeast","Marcos Highway","Robinsons Metroeast",,"Pasig City"
7231,"Banana Republic - Podium","ADB Avenue","Ortigas Center",,"Mandaluyong City"
7300,"GAP - Bonifacio High Street","The Fort",,,Taguig
7301,"Banana Republic-Bonifacio High","28 St. corner 5th Ave.","CI, BHS Central(space no.SW-LG117)",,"Bonifacio  City"
7310,"Banana Republic - Shangrila","Edsa cor Shaw Blvd","Unit 2308-2309, level 2 East Wing",,"Madaluyong City"
7400,"GAP - Trinoma","Edsa Corner North Avenue","Quezon City",,"Quezon City"
7401,"BR - Eastwood","E.RODRIQUEZ JR. AVE","EASTWOOD MALL",,"QUEZON CITY"
7402,"OLD NAVY - Gateway","Gateway Cubao",,,"Quezon City"
7410,"GAP - Magnolia","Aurora Blvd. cor. Dona Hemady St.",,,"Quezon City"
7500,"GAP - Mall Of Asia","Mall Of Asia",,,Manila
7510,"GAP - Robinson's Place","Robinson Malate",,,Manila
7519,"GAP Outlet Kids - Lucky Mall","Binondo Manila","Unit 4 LTCM",,Manila
7529,"GAP Outlet Adults - Lucky Mall","Binondo Manila","Unit 8 LTCM",,Manila
7539,"THE OUTLET-Robinsons Place Mla","PEDRO GIL COR ADRIATICO ST.",,,MANILA
7600,"GAP - ATC","Alabang Town Center",,,Alabang
7602,"OLD NAVY - ATC","Alabang Town Center",,,Muntinlupa
7619,"Gap Outlet - SM South Mall","Zapote Road","SM Southmall",,"Las Pinas"
7670,"OLD NAVY - Glorietta","Ayala Center",Makati,,"Makati Cty"
7680,"OLD NAVY - Boni High Street","The Fort","SSI Commercial Bldg., Block 6",,Taguig
7709,"GAP & BR Outlet - Pampanga","Francisco G. Nepo Ave.","Marquee Mall",,"Angeles City"
7719,"THE OUTLET - Paseo De Sta Rosa","United Blvd.","Paseo 4B Ground Floor Unit A7",,"Santa Rosa City"
7729,"THE OUTLET- Limketkai Mall CDO",Lapasan,"Limketkai Center",,"Cagayan De Oro"
7740,"GAP - Abreeza Davao","JP Laurel Ave","Abreeza Mall",,"Davao City"
7759,"GAP - 158 DB SUBIC","Rizal Highway","Harbor Point",,"Subic Freepoint Zone"
7769,"GAP - 158 DB SM Dasmarinas","Governor's Drive Brgy. Sampalok",Dasmarinas,,Cavite
7779,"GAP - 158 BACOLOD","NATIONAL HIGHWAY","NORTH POINT",,"BACOLOD CITY"
7781,"GAP - Eastwood","E. Rodriguez Jr. Ave (C5)","Eastwood Mall. Brgy. Bagumbayan",,"Quezon City"
7791,"GAP - Cebu","Stall L 102, Level 1, Ayala Cebu","Cebu Business Park",,"Cebu City"
7800,"Head Office","403 Sen Gil Puyat Ave.,","Midland Bldg.",,"Makati City"
7900,"CS Location (Inactive)","CS Location",,,Makati
7910,"AD & Promo (Inactive)","403 Sen Gil Puyat Ave.,","Midland Bldg.",,Makati
7920,"Institutional Sale","Sen Gil Puyat Ave.,",,,Makati
7930,"Offsite Sale Location 1",NA,,,Makati
7940,"Offsite Sale Location 2",NA,,,Makati
7950,"Offsite Sale Location 3",NA,,,Makati
7960,"Employee Sale Location",NA,,,Makati
7970,"Offsite Sale location 4",NA,,,Makati
7980,"Offsite Sale location 5",NA,,,Makati
7990,"THE OUTLET - GENERAL SANTOS","GF J. Catalino Sr. Avenue BrgyLagao","Veranza Mall",,"General Santos City"
