move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,so_no,date_created,sequence_no,group_name,quantity_moved
323,750515017429,PCK00001,3.00,20,10602,140620,1,GROUP-A,0
323,750515017405,PCK00001,3.00,20,10602,140620,2,GROUP-A,0
323,750515021204,PCK00001,4.00,20,10602,140620,3,GROUP-A,0
323,750515021228,PCK00001,5.00,20,10602,140620,4,GROUP-A,0
323,750515030176,PCK00001,5.00,20,10603,140620,5,GROUP-A,0
323,750515018402,PCK00001,2.00,20,10603,140620,6,GROUP-A,0
323,750515018303,PCK00001,7.00,20,10603,140620,7,GROUP-A,0
324,750515021204,PCK00001,3.00,30,10604,140620,1,GROUP-A,0
324,750515021228,PCK00001,2.00,30,10604,140620,2,GROUP-A,0
324,750515030152,PCK00001,5.00,30,10604,140620,3,GROUP-A,0
324,750515018402,PCK00001,4.00,30,10605,140620,4,GROUP-A,0
324,750515018303,PCK00001,6.00,30,10605,140620,5,GROUP-A,0
327,750515017429,PCK00001,4.00,18,10607,140620,1,GROUP-B,0
327,750515017405,PCK00001,6.00,18,10607,140620,2,GROUP-B,0
327,750515021204,PCK00001,5.00,18,10607,140620,3,GROUP-B,0
327,750515030176,PCK00001,4.00,18,10607,140620,4,GROUP-B,0
327,750515018402,PCK00001,2.00,18,10607,140620,5,GROUP-B,0
328,750515017429,PCK00001,5.00,40,10609,140620,1,GROUP-B,0
328,750515017405,PCK00001,2.00,40,10609,140620,2,GROUP-B,0
328,750515021228,PCK00001,4.00,40,10610,140620,3,GROUP-B,0
328,750515030152,PCK00001,5.00,40,10610,140620,4,GROUP-B,0
328,750515030176,PCK00001,3.00,40,10606,140620,5,GROUP-B,0
328,750515030176,PCK00001,3.00,40,10610,140620,6,GROUP-B,0
328,750515030190,PCK00001,5.00,40,10606,140620,7,GROUP-B,0
328,750515030008,PCK00001,4.00,40,10606,140620,8,GROUP-B,0
328,750515030008,PCK00001,5.00,40,10608,140620,9,GROUP-B,0
328,750515018402,PCK00001,2.00,40,10606,140620,10,GROUP-B,0
328,750515018402,PCK00001,3.00,40,10608,140620,11,GROUP-B,0
328,750515018303,PCK00001,6.00,40,10606,140620,12,GROUP-B,0
328,750515018303,PCK00001,5.00,40,10608,140620,13,GROUP-B,0
329,750515030176,PCK00001,4.00,50,10611,140620,1,GROUP-B,0
329,750515030190,PCK00001,4.00,50,10611,140620,2,GROUP-B,0
329,750515030008,PCK00001,5.00,50,10611,140620,3,GROUP-B,0
329,750515018402,PCK00001,6.00,50,10611,140620,4,GROUP-B,0
329,750515018303,PCK00001,5.00,50,10611,140620,5,GROUP-B,0
