so_no,store_code,so_status
10607,18,P,140620
10602,20,P,140620
10603,20,P,140620
10604,30,P,140620
10605,30,P,140620
10606,40,P,140620
10608,40,P,140620
10609,40,P,140620
10610,40,P,140620
10611,50,P,140620
