so_no,sku,ordered_qty,allocated_qty
6290,198838400281,2.00,2.00
6303,198838400281,2.00,2.00
6304,198838400281,2.00,2.00
6290,198838400304,2.00,2.00
6304,198838400304,1.00,1.00
6290,198838400328,3.00,3.00
6304,198838400328,3.00,3.00
6290,198838400342,2.00,2.00
6304,198838400342,1.00,1.00
6290,198838400366,2.00,2.00
6304,198838400366,2.00,2.00
6290,198838400380,2.00,2.00
6304,198838400380,1.00,1.00
6290,198838400403,2.00,2.00
6304,198838400403,2.00,2.00
6290,120851600027,3.00,3.00
6304,120851600027,1.00,1.00
6290,120702800019,1.00,1.00
6304,120702800019,2.00,2.00
6290,120702800026,1.00,1.00
6304,120702800026,1.00,1.00
6290,120702800033,2.00,2.00
6304,120702800033,2.00,2.00
6290,120702800040,1.00,1.00
6304,120702800040,1.00,1.00
6290,124182902027,1.00,1.00
6304,124182902027,1.00,1.00
6290,124182904021,1.00,1.00
6304,124182904021,2.00,2.00
6290,124182906025,1.00,1.00
6304,124182906025,2.00,2.00
6290,124182908029,2.00,2.00
6304,124182908029,1.00,1.00
6290,124182910022,1.00,1.00
6304,124182910022,2.00,2.00
6290,124182912026,1.00,1.00
6290,124182914020,1.00,1.00
6290,120670300306,1.00,1.00
6290,120670300320,2.00,2.00
6290,120670300344,1.00,1.00
6290,120670300368,2.00,2.00
6290,120670300382,1.00,1.00
6290,120670300405,2.00,2.00
6290,120849800026,2.00,2.00
6305,300000000005,5.00,5.00
6305,300000000012,2.00,2.00
6305,300000000013,1.00,1.00
6305,300000000014,2.00,2.00
6305,300000000016,1.00,1.00
6305,300000000015,1.00,1.00
6305,300000000017,2.00,2.00
6305,300000000018,3.00,3.00
6305,300000000019,3.00,3.00
6305,300000000020,2.00,2.00
6305,300000000022,1.00,1.00
6305,300000000021,2.00,2.00
6305,300000000024,2.00,2.00
6305,300000000025,1.00,1.00
6306,300000000056,2.00,2.00
6305,85715419538,2.00,2.00
6305,800000000004,2.00,2.00
6305,800000000005,1.00,1.00
6305,700000000004,2.00,2.00
6305,700000000006,3.00,3.00
6305,85715418524,1.00,1.00
