so_no,sku,ordered_qty,allocated_qty
6372,197654608024,0,0
6372,198838400281,2.00,2.00
6372,198838400304,3.00,3.00
6372,198838400328,0,0
6372,198838400342,0,0
6372,198838400366,0,0
6372,198838400380,0,0
6372,120851600027,0,0
6372,120702800019,0,0
6372,120702800026,0,0
6372,120702800033,0,0
6372,120702800040,0,0
6372,124182902027,0,0
6372,124182904021,0,0
6372,124182906025,0,0
6417,124182906025,2.00,2.00
6372,124182908029,0,0
6417,124182908029,1.00,1.00
6372,124182910022,0,0
6411,124182910022,1.00,1.00
6372,124182912026,0,0
6411,124182912026,2.00,2.00
6372,124182914020,0,0
6411,124182914020,4.00,4.00
6419,124182914020,1.00,1.00
6372,120670300306,0,0
6411,120670300306,1.00,1.00
6419,120670300306,1.00,1.00
6372,120670300320,0,0
6411,120670300320,2.00,2.00
6372,120670300344,0,0
6411,120670300344,2.00,2.00
6420,120670300344,1.00,1.00
6372,120670300368,0,0
6411,120670300368,1.00,1.00
6420,120670300368,2.00,2.00
6372,120670300382,0,0
6411,120670300382,1.00,1.00
6411,120670300405,1.00,1.00
6372,120849800026,0,0
6411,120849800026,1.00,1.00
6372,120849800040,0,0
6411,120849800040,1.00,1.00
6372,120849800064,0,0
6411,120849800064,1.00,1.00
6372,120849800088,0,0
6411,120849800088,1.00,1.00
6372,120849800101,0,0
6372,120720400017,0,0
6372,173547300008,0,0
6417,144354500042,0,0
6417,131390714021,0,0
6372,119156600283,0,0
6372,119156600306,0,0
6372,119156600313,0,0
6372,119156600320,0,0
6372,111510300006,0,0
6372,111510300020,0,0
6372,111510300037,0,0
6372,111510300044,0,0
6372,9000000000182,0,0
6372,9000000000183,0,0
6372,9000000000184,0,0
