dept_code,sub_dept,class,sub_class,description
811,14,144,108,"ACT TOPS"
811,14,144,110,"LS KNIT"
811,14,144,120,SLEEVELS
811,14,144,140,"KNT DRSG"
811,14,144,150,"ACT TOPS"
811,14,144,160,"ACT BTMS"
811,14,145,0,"W SWTRS"
811,14,145,2,"SHRT SLV"
811,14,145,3,LONGSLV
811,14,145,4,VESTS
811,14,145,101,SLVLESS
811,14,145,102,"SHRT SLV"
811,14,145,103,LONGSLV
811,14,145,104,VESTS
811,14,145,105,ITEMS
811,14,145,108,"WM RD SWT"
811,14,145,120,"SHRT SLV"
811,14,145,130,LONGSLV
811,14,145,140,VESTS
811,14,145,180,"ACTV TOP"
811,14,148,0,"W DENIM"
811,14,148,1,"FASH DEN"
811,14,148,3,SKIRTS
811,14,148,5,"WOVEN TOP"
811,14,148,100,"BAS 5PKT"
811,14,148,101,"FASH DEN"
811,14,148,102,SHORTS
811,14,148,103,SKIRTS
811,14,148,104,CAPRIS
811,14,148,105,"WOVEN TOP"
811,14,148,106,OVERALL
811,14,148,107,1969
811,14,148,108,"DENIM JKT"
811,14,148,110,"FASH DEN"
811,14,148,120,SHORTS
811,14,148,140,SKIRTS
811,14,148,150,"WOVEN TOP"
811,14,999,0,"NO CLASS"
811,14,999,199,"NO SUB-CLASS"
811,16,0,0,BABY
811,16,160,0,TOPS
811,16,160,1,PANTS
811,16,160,2,SHORTS
811,16,160,3,DENIM
811,16,160,7,SWIM
811,16,160,100,TOPS
811,16,160,101,PANTS
811,16,160,102,SHORTS
811,16,160,103,DENIM
811,16,160,106,OUTER
811,16,160,107,SWIM
811,16,160,110,PANTS
811,16,160,120,SHORTS
811,16,160,130,DENIM
811,16,160,170,SWIM
811,16,161,0,"TG WOVEN"
811,16,161,1,PANTS
811,16,161,3,SHORTS
811,16,161,7,DENIM
811,16,161,8,DRESSES
811,16,161,100,TOPS
811,16,161,101,PANTS
811,16,161,102,SKRTSKOT
811,16,161,103,SHORTS
811,16,161,107,DENIM
811,16,161,108,DRESSES
811,16,161,109,OUTERWEA
811,16,161,110,PANTS
811,16,161,120,SHORTS
811,16,161,130,DENIM
811,16,161,140,SKIRTS
811,16,161,170,DENIM
811,16,161,180,DRESSES
811,16,162,0,"TG KNIT"
811,16,162,1,PANTS
811,16,162,2,"KNT SHOR"
811,16,162,3,ACTVETOP
811,16,162,4,DRESSES
811,16,162,6,SWEATERS
811,16,162,7,SWIM
811,16,162,9,SKIRTS
811,16,162,10,GRAPHEMB
811,16,162,100,TOPS
811,16,162,101,PANTS
811,16,162,102,SHORTS
811,16,162,103,"ACTV TOP"
