move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,created_at
1,2200866415170,RZ000001,200,,
2,2200851135144,PZ000001,60,884,130727
3,2895528300000,RZ000001,100,,
3,2895532000000,RZ000001,100,,
3,2200828955416,RZ000001,100,,
3,2895542900000,RZ000001,100,,
3,2200828955430,RZ000001,100,,
3,2895544300000,RZ000001,100,,
3,2895545000000,RZ000001,100,,
3,2200828955485,RZ000001,100,,
3,2895550400000,RZ000001,100,,
3,2200828955522,RZ000001,100,,
3,2895553500000,RZ000001,100,,
3,2200828955720,RZ000001,100,,
3,2895577100000,RZ000001,100,,
3,2895578800000,RZ000001,100,,
3,2200828955812,RZ000001,100,,
4,2200837770017,PZ000001,15,884,130727
5,2200837770017,PZ000001,12,820,130727
6,2200837770017,PZ000001,12,820,130727
7,2200849470288,PZ000001,20,80021,130730
8,2200849470288,PZ000001,16,80021,130730
9,2200849470288,PZ000001,20,80021,130730
10,2200849470288,PZ000001,16,80021,130730
11,2200837770017,PZ000001,12,80021,130730
12,2200838269343,PZ000001,10,884,130728
13,2200837202006,PZ000001,1,893,130801
13,2200837202037,PZ000001,1,893,130801
13,2200837202044,PZ000001,1,893,130801
14,2200866415170,PZ000001,5,893,130801
15,2200870000287,PZ000001,3,975,130730
15,2200870000294,PZ000001,2,975,130730
15,2200870000300,PZ000001,2,975,130730
16,2200850080704,PZ000001,3,80021,130729
17,2200870000300,PZ000001,5,80021,130730
18,2200870000294,PZ000001,5,975,130730
19,2200870000300,PZ000001,2,975,130730
19,2200870000300,PZ000001,2,80021,130730
19,2200870000300,PZ000001,1,893,130801
20,2200870000287,PZ000001,1,884,130801
21,2200870000287,PZ000001,2,975,130730
22,2200870000287,PZ000001,3,975,130730
23,2200875001753,PZ000001,2,80021,130730
23,2200875001760,PZ000001,2,80021,130730
24,2200875001753,PZ000001,2,80021,130730
25,2200813137674,PZ000001,3,80021,130729
25,2200813137674,PZ000001,1,820,130729
25,2200813137674,PZ000001,1,80021,130729
25,2895528300000,PZ000001,5,944,130729
25,2895528300000,PZ000001,10,820,130729
25,2200835801959,PZ000001,3,80021,130729
25,2200835801959,PZ000001,3,80021,130729
25,2200835801959,PZ000001,1,975,130729
25,2200835801959,PZ000001,3,884,130729
25,2200837201955,PZ000001,3,80021,130729
25,2200837201955,PZ000001,3,820,130729
25,2200837201955,PZ000001,3,893,130801
25,2200837770017,PZ000001,8,80011,130729
25,2200846664604,PZ000001,50,884,130729
25,2200846664604,PZ000001,50,80021,130729
25,2200846664604,PZ000001,50,884,130729
25,2200849470288,PZ000001,10,80021,130729
25,2200849928963,PZ000001,3,884,130729
25,2200849928963,PZ000001,3,80021,130729
25,2200849928963,PZ000001,3,884,130729
25,2200850080704,PZ000001,3,80021,130729
25,2200850080704,PZ000001,3,893,130729
25,2200850080704,PZ000001,1,975,130729
25,2200850142549,PZ000001,3,884,130729
25,2200850142549,PZ000001,3,975,130729
25,2200850142549,PZ000001,3,80021,130729
25,2200851135144,PZ000001,50,893,130729
25,2200851135144,PZ000001,50,80011,130729
25,2200851135144,PZ000001,40,,
25,2200851135168,PZ000001,3,944,130729
25,2200851135168,PZ000001,3,975,130729
25,2200851135168,PZ000001,3,80021,130729
25,2200851135168,PZ000001,1,,
25,2200853907930,PZ000001,1,944,130729
25,2200853907930,PZ000001,3,820,130729
25,2200865597358,PZ000001,2,820,130729
25,2200865597358,PZ000001,2,8843,130728
25,2200865597358,PZ000001,2,975,130730
25,2200865597358,PZ000001,2,884,130729
25,2200866415170,PZ000001,90,944,130726
25,2200866415170,PZ000001,75,,
25,2200867061543,PZ000001,5,893,130729
25,2200867061543,PZ000001,3,893,130730
26,2895528300000,PZ000001,3,80021,130730
26,2895532000000,PZ000001,2,80021,130730
27,2200866415170,PZ000001,3,80021,130730
28,2200866415170,SZA00001,2,,
29,2200866415170,PZ000001,3,80021,130730
30,2200863056932,PZ000001,2,80021,130730
31,2200865372245,PZ000001,2,80021,130730
32,2200863559594,PZ000001,3,80021,130730
32,2200863559662,PZ000001,2,80021,130730
32,2200865372245,PZ000001,1,80021,130730
33,2200861954179,PZ000001,2,80021,130730
33,2200865589896,PZ000001,2,80021,130730
34,2200866272940,PZ000001,3,80021,130730
34,2200866272957,PZ000001,2,80021,130730
34,2200866350648,PZ000001,1,80021,130730
34,2200866350655,PZ000001,2,80021,130730
34,2200866350662,PZ000001,2,80021,130730
34,2200866350679,PZ000001,2,80021,130730
34,2200866470315,PZ000001,1,80021,130730
34,2200866471114,PZ000001,2,80021,130730
34,2200866471657,PZ000001,2,80021,130730
34,2200866471664,PZ000001,2,80021,130730
34,2200866471671,PZ000001,1,80021,130730
34,2200866471695,PZ000001,2,80021,130730
34,2200866474863,PZ000001,2,80021,130730
34,2200866474870,PZ000001,2,80021,130730
34,2200866474887,PZ000001,2,80021,130730
34,2200866474900,PZ000001,2,80021,130730
34,2200866474917,PZ000001,1,80021,130730
34,2200866475181,PZ000001,2,80021,130730
34,2200866475198,PZ000001,2,80021,130730
34,2200866475204,PZ000001,2,80021,130730
34,2200866475211,PZ000001,2,80021,130730
34,2200866475228,PZ000001,1,80021,130730
34,2200866475235,PZ000001,2,80021,130730
35,2200866231367,PZ000001,1,,
35,2200866231374,PZ000001,1,,
35,2200866231497,PZ000001,2,,
35,2200866366809,PZ000001,2,,
35,2200866366816,PZ000001,2,,
35,2200866366922,PZ000001,2,,
35,2200866377010,PZ000001,2,,
35,2200866377027,PZ000001,1,,
35,2200866403641,PZ000001,2,,
35,2200866445276,PZ000001,2,,
35,2200866445306,PZ000001,3,,
35,2200866465250,PZ000001,2,,
35,2200866555715,PZ000001,3,,
35,2200866555722,PZ000001,2,,
35,2200866555739,PZ000001,4,,
35,2200866555746,PZ000001,3,,
35,2200866626996,PZ000001,3,,
35,2200866627009,PZ000001,3,,
35,2200866627016,PZ000001,4,,
35,2200866627030,PZ000001,3,,
35,2200866627047,PZ000001,2,,
35,2200866627092,PZ000001,2,,
35,2200866627108,PZ000001,2,,
35,2200866678520,PZ000001,2,,
35,2200866678537,PZ000001,2,,
35,2200866678568,PZ000001,2,,
35,2200866681209,PZ000001,3,,
35,2200866681216,PZ000001,2,,
35,2200866681223,PZ000001,3,,
35,2200866681230,PZ000001,2,,
35,2200866681247,PZ000001,2,,
35,2200866759083,PZ000001,2,,
35,2200866759090,PZ000001,3,,
36,2200865194359,PZ000001,3,80021,130731
36,2200865194366,PZ000001,3,80021,130731
36,2200865194373,PZ000001,3,80021,130731
36,2200865194380,PZ000001,3,80021,130731
36,2200865194397,PZ000001,2,80021,130731
36,2200866274302,PZ000001,3,80021,130731
36,2200866275279,PZ000001,2,80021,130731
36,2200866275286,PZ000001,2,80021,130731
36,2200866275293,PZ000001,2,80021,130731
36,2200866275309,PZ000001,1,80021,130731
36,2200866275316,PZ000001,2,80021,130731
36,2200866349918,PZ000001,1,80021,130731
36,2200866349932,PZ000001,3,80021,130731
36,2200866349949,PZ000001,3,80021,130731
36,2200866349963,PZ000001,2,80021,130731
36,2200866350310,PZ000001,1,80021,130731
36,2200866350327,PZ000001,3,80021,130731
36,2200866350334,PZ000001,3,80021,130731
36,2200866350341,PZ000001,3,80021,130731
36,2200866350365,PZ000001,2,80021,130731
36,2200866351539,PZ000001,2,80021,130731
36,2200866351546,PZ000001,2,80021,130731
36,2200866351553,PZ000001,2,80021,130731
36,2200866351591,PZ000001,3,80021,130731
36,2200866423878,PZ000001,1,80021,130731
36,2200866423885,PZ000001,3,80021,130731
36,2200866423892,PZ000001,3,80021,130731
36,2200866472401,PZ000001,2,80021,130731
36,2200866472425,PZ000001,2,80021,130731
36,2200866474078,PZ000001,4,80021,130731
36,2200866474085,PZ000001,5,80021,130731
36,2200866474221,PZ000001,1,80021,130731
36,2200866474238,PZ000001,3,80021,130731
36,2200866474245,PZ000001,2,80021,130731
36,2200866474269,PZ000001,2,80021,130731
36,2200866474276,PZ000001,2,80021,130731
36,2200866474368,PZ000001,3,80021,130731
36,2200866474405,PZ000001,2,80021,130731
36,2200866763936,PZ000001,6,80021,130731
36,2200866765190,PZ000001,2,80021,130731
36,2200866765206,PZ000001,5,80021,130731
36,2200866765220,PZ000001,5,80021,130731
36,2200866765862,PZ000001,3,80021,130731
36,2200866765893,PZ000001,2,80021,130731
36,2200866766425,PZ000001,3,80021,130731
36,2200866766432,PZ000001,3,80021,130731
36,2200866766449,PZ000001,3,80021,130731
36,2200866766661,PZ000001,2,80021,130731
36,2200866766678,PZ000001,5,80021,130731
36,2200866766692,PZ000001,5,80021,130731
36,2200866766968,PZ000001,3,80021,130731
36,2200866766982,PZ000001,3,80021,130731
36,2200866767712,PZ000001,3,80021,130731
36,2200866767729,PZ000001,2,80021,130731
36,2200866767743,PZ000001,4,80021,130731
36,2200866767835,PZ000001,3,80021,130731
36,2200866767842,PZ000001,2,80021,130731
36,2200866767859,PZ000001,3,80021,130731
37,2200866272940,PZ000001,3,80021,130731
37,2200866272957,PZ000001,2,80021,130731
37,2200866350648,PZ000001,1,80021,130731
37,2200866350655,PZ000001,2,80021,130731
37,2200866350662,PZ000001,2,80021,130731
37,2200866350679,PZ000001,2,80021,130731
37,2200866470315,PZ000001,1,80021,130731
37,2200866471114,PZ000001,2,80021,130731
37,2200866471657,PZ000001,2,80021,130731
37,2200866471664,PZ000001,2,80021,130731
37,2200866471671,PZ000001,1,80021,130731
37,2200866471695,PZ000001,2,80021,130731
37,2200866474863,PZ000001,2,80021,130731
37,2200866474870,PZ000001,2,80021,130731
37,2200866474887,PZ000001,2,80021,130731
37,2200866474900,PZ000001,2,80021,130731
37,2200866474917,PZ000001,1,80021,130731
37,2200866475181,PZ000001,2,80021,130731
37,2200866475198,PZ000001,2,80021,130731
37,2200866475204,PZ000001,2,80021,130731
37,2200866475211,PZ000001,2,80021,130731
37,2200866475228,PZ000001,1,80021,130731
37,2200866475235,PZ000001,2,80021,130731
38,2200866231367,PZ000001,1,,
38,2200866231374,PZ000001,1,,
38,2200866231497,PZ000001,2,,
38,2200866366809,PZ000001,2,,
38,2200866366816,PZ000001,2,,
38,2200866366922,PZ000001,2,,
38,2200866377010,PZ000001,2,,
38,2200866377027,PZ000001,1,,
38,2200866403641,PZ000001,2,,
38,2200866445276,PZ000001,2,,
38,2200866445306,PZ000001,3,,
38,2200866465250,PZ000001,2,,
38,2200866555715,PZ000001,3,,
38,2200866555722,PZ000001,2,,
38,2200866555739,PZ000001,4,,
38,2200866555746,PZ000001,3,,
38,2200866626996,PZ000001,3,,
38,2200866627009,PZ000001,3,,
38,2200866627016,PZ000001,4,,
38,2200866627030,PZ000001,3,,
38,2200866627047,PZ000001,2,,
38,2200866627092,PZ000001,2,,
38,2200866627108,PZ000001,2,,
38,2200866678520,PZ000001,2,,
38,2200866678537,PZ000001,2,,
38,2200866678568,PZ000001,2,,
38,2200866681209,PZ000001,3,,
38,2200866681216,PZ000001,2,,
38,2200866681223,PZ000001,3,,
38,2200866681230,PZ000001,2,,
38,2200866681247,PZ000001,2,,
38,2200866759083,PZ000001,2,,
38,2200866759090,PZ000001,3,,
