move_doc_number,sku,from_slot_code,quantity_to_pick,store_code,so_no,date_created,sequence_no,group_name,quantity_moved
304,8888077102061,PCK00001,3.00,20,10554,140618,1,GROUP-A,0
304,8888077103259,PCK00001,4.00,20,10554,140618,2,GROUP-A,0
304,8888077101125,PCK00001,4.00,20,10554,140618,3,GROUP-A,0
304,8994504124312,PCK00001,2.00,20,10555,140618,4,GROUP-A,0
304,8888077101378,PCK00001,5.00,20,10555,140618,5,GROUP-A,0
304,8888077108421,PCK00001,4.00,20,10555,140618,6,GROUP-A,0
305,4902777235547,PCK00001,3.00,30,10556,140618,1,GROUP-A,0
305,8994504124312,PCK00001,2.00,30,10556,140618,2,GROUP-A,0
305,8888077101378,PCK00001,4.00,30,10556,140618,3,GROUP-A,0
305,8888077108421,PCK00001,2.00,30,10556,140618,4,GROUP-A,0
306,8888077102061,PCK00001,4.00,26,10557,140618,1,GROUP-A,0
306,8888077101125,PCK00001,4.00,26,10557,140618,2,GROUP-A,0
306,4902777235547,PCK00001,3.00,26,10557,140618,3,GROUP-A,0
306,8888077108421,PCK00001,2.00,26,10557,140618,4,GROUP-A,0
310,8994504124312,PCK00001,3.00,18,10558,140618,1,GROUP-B,0
310,8888077101378,PCK00001,4.00,18,10558,140618,2,GROUP-B,0
310,8888077108421,PCK00001,5.00,18,10558,140618,3,GROUP-B,0
311,8888077102061,PCK00001,3.00,40,10559,140618,1,GROUP-B,0
311,8888077103259,PCK00001,2.00,40,10559,140618,2,GROUP-B,0
311,8888077101125,PCK00001,3.00,40,10559,140618,3,GROUP-B,0
311,4902777235547,PCK00001,3.00,40,10560,140618,4,GROUP-B,0
311,8888077101378,PCK00001,4.00,40,10561,140618,5,GROUP-B,0
311,8888077108421,PCK00001,3.00,40,10561,140618,6,GROUP-B,0
312,8888077102061,PCK00001,4.00,50,10562,140618,1,GROUP-B,0
312,8888077101125,PCK00001,4.00,50,10562,140618,2,GROUP-B,0
312,4902777235547,PCK00001,3.00,50,10562,140618,3,GROUP-B,0
312,8888077101378,PCK00001,2.00,50,10563,140618,4,GROUP-B,0
312,8888077108421,PCK00001,5.00,50,10563,140618,5,GROUP-B,0
