so_no,store_code,so_status
"10543   ",18,P,140609
"10537   ",20,P,140609
"10539   ",20,P,140609
"10541   ",26,P,140609
"10542   ",26,P,140609
"10540   ",30,P,140609
"10544   ",40,P,140609
"10545   ",40,P,140609
"10546   ",40,P,140609
"10547   ",50,P,140609
