so_no,sku,ordered_qty,allocated_qty
"10537   ",49771992,2.00,2.00
"10537   ",8888077101224,3.00,3.00
"10537   ",4902777237930,4.00,4.00
"10537   ",4902777017761,3.00,3.00
"10539   ",8888077101101,2.00,2.00
"10539   ",8888077101200,3.00,3.00
"10540   ",8888077108322,3.00,3.00
"10540   ",49771992,2.00,2.00
"10540   ",4902777009643,3.00,3.00
"10540   ",49770568,4.00,4.00
"10540   ",8888077101200,3.00,3.00
"10541   ",8888077101224,5.00,5.00
"10541   ",49770568,3.00,3.00
"10542   ",8888077101101,5.00,5.00
"10542   ",4902777237930,3.00,3.00
"10542   ",8888077108322,2.00,2.00
"10543   ",4902777237930,4.00,4.00
"10543   ",8888077101224,3.00,3.00
"10543   ",8888077108322,4.00,4.00
"10543   ",8888077101200,5.00,5.00
"10544   ",8888077101101,4.00,4.00
"10544   ",8888077101224,3.00,3.00
"10544   ",49770568,2.00,2.00
"10545   ",49770568,3.00,3.00
"10545   ",4902777017761,2.00,2.00
"10546   ",8888077101200,3.00,3.00
"10547   ",8888077101101,3.00,3.00
"10547   ",8888077101200,4.00,4.00
"10547   ",49771992,2.00,2.00
"10547   ",8888077108322,4.00,4.00
"10547   ",8888077108308,5.00,5.00
"10547   ",49770568,4.00,4.00
