move_doc_number,sku,from_slot_code,quantity_to_letdown,store_code,date_created,sequence_no,group_name
293,8888077101101,"2AOB22  ",2.00,9005,140609,1,"GROUP-A "
293,49771992,"2AOB31  ",2.00,9005,140609,2,"GROUP-A "
293,4902777237930,"2AOC11  ",4.00,9005,140609,3,"GROUP-A "
293,4902777017761,"2AOC21  ",3.00,9005,140609,4,"GROUP-A "
293,8888077101200,"2AOC31  ",3.00,9005,140609,5,"GROUP-A "
294,49771992,"2AOB31  ",2.00,9005,140609,1,"GROUP-A "
294,4902777009643,"2AOB42  ",3.00,9005,140609,2,"GROUP-A "
294,49770568,"2AOC12  ",4.00,9005,140609,3,"GROUP-A "
294,8888077108322,"2AOC22  ",3.00,9005,140609,4,"GROUP-A "
294,8888077101200,"2AOC31  ",3.00,9005,140609,5,"GROUP-A "
295,8888077101101,"2AOB22  ",5.00,9005,140609,1,"GROUP-A "
295,4902777237930,"2AOC11  ",3.00,9005,140609,2,"GROUP-A "
295,49770568,"2AOC12  ",3.00,9005,140609,3,"GROUP-A "
295,8888077108322,"2AOC22  ",2.00,9005,140609,4,"GROUP-A "
299,4902777237930,"2AOC11  ",4.00,9005,140609,1,"GROUP-B "
299,8888077108322,"2AOC22  ",4.00,9005,140609,2,"GROUP-B "
299,8888077101200,"2AOC31  ",5.00,9005,140609,3,"GROUP-B "
300,8888077101101,"2AOB22  ",4.00,9005,140609,1,"GROUP-B "
300,49770568,"2AOC12  ",5.00,9005,140609,2,"GROUP-B "
300,4902777017761,"2AOC21  ",2.00,9005,140609,3,"GROUP-B "
300,8888077101200,"2AOC31  ",3.00,9005,140609,4,"GROUP-B "
301,8888077101101,"2AOB22  ",3.00,9005,140609,1,"GROUP-B "
301,49771992,"2AOB31  ",2.00,9005,140609,2,"GROUP-B "
301,8888077108308,"2AOB32  ",5.00,9005,140609,3,"GROUP-B "
301,49770568,"2AOC12  ",4.00,9005,140609,4,"GROUP-B "
301,8888077108322,"2AOC22  ",4.00,9005,140609,5,"GROUP-B "
301,8888077101200,"2AOC31  ",4.00,9005,140609,6,"GROUP-B "
