sku,upc,short_description,description,vendor,dept_code,sub_dept,class,sub_class,set_code
800017,2800017900045,CAFEAMERIC,"CAFE AMERICANO HOT 12OZ       ",90004,100,110,101,101,1
800018,2800018900044,MILKPOWDER,"MILK POWDER 1K PACK           ",80004,100,110,101,103,3
800019,2800019900043,CAFELATTEH,"CAFE LATTE HOT 8OZ            ",90004,100,110,101,101,1
800020,2800020900049,CAFELATTEH,"CAFE LATTE HOT 12OZ           ",90004,100,110,101,101,1
800021,2800021900048,CAPPUCCINO,"CAPPUCCINO HOT 8OZ            ",90004,100,110,101,101,1
800022,2800022900047,CAPPUCCINO,"CAPPUCCINO HOT 12OZ           ",90004,100,110,101,101,1
800023,2800023900046,MILKCHOCOP,"MILK CHOCO POWDER 1K PACK     ",80004,100,110,101,103,3
800024,2800024900045,CAFEMOCHAH,"CAFE MOCHA HOT 8OZ            ",90004,100,110,101,101,1
800025,2800025900044,CAFEMOCHAH,"CAFE MOCHA HOT 12OZ           ",90004,100,110,101,101,1
800026,2800026900043,CHOCOLATEH,"CHOCOLATE HOT 8OZ             ",90004,100,110,101,101,1
800027,2800027900042,CHOCOLATEH,"CHOCOLATE HOT 12OZ            ",90004,100,110,101,101,1
800028,2800028900058,NESCAFECRA,"NESCAFE CRAMELMACCHIATO 8X500g",80003,100,110,101,103,3
800029,2800029900057,NESCAFECAR,"NESCAFE CARAMEL MACCHIATO 8OZ ",90005,100,110,101,102,1
800030,2800030900053,NESCAFECAR,"NESCAFE CARAMELMACCH ICED 12OZ",90005,100,110,101,102,1
800031,2800031900052,NESCAFECAP,"NESCAFE CAPPUCCINO 8X500G     ",80003,100,110,101,103,3
800032,2800032900051,NESCAFECAP,"NESCAFE CAPPUCINO 8OZ         ",90005,100,110,101,102,1
800033,4800361370882,NESCAFECLA,"NESCAFE CLASSIC 12x250G       ",80003,100,110,101,103,3
800034,2800034900059,NESCAFEBLA,"NESCAFE BLACK COFFEE 8OZ      ",90005,100,110,101,102,1
800035,4800361379694,MILONPROHO,"MILO NPRO HOT MIX 8x1KG       ",80003,100,110,101,103,3
800036,2800036900057,MILONPROHO,"MILO NPRO HOT 8OZ             ",90005,100,110,101,102,1
800037,2800037900056,MILONPROIC,"MILO NPRO ICED 12OZ           ",90005,100,110,101,102,1
800038,2800038900055,NESCAFEMOC,"NESCAFE MOCHA 8OZ             ",90005,100,110,101,102,1
800039,2800039900054,NESCAFEMOC,"NESCAFE MOCHA ICED 12OZ       ",90005,100,110,101,102,1
800040,4800361386166,NESTLENPRO,"NESTLE NPRO RED TEA 12X360G   ",80003,100,110,102,103,3
800041,2800041900059,NESTLEREDT,"NESTLE RED TEA 12OZ           ",90005,100,110,102,102,1
800042,2800042900058,NESTLEREDT,"NESTLE RED TEA 16OZ           ",90005,100,110,102,102,1
800043,2800043900057,NESTLEREDT,"NESTLE RED TEA 22OZ           ",90005,100,110,102,102,1
800044,4800361386180,NESTLEBLUE,"NESTLE BLUE LEMONADE 12X360G  ",80003,100,110,102,103,3
800045,2800045900055,NESTLEBLUE,"NESTLE BLUE LEMONADE 12OZ     ",90005,100,110,102,102,1
800046,2800046900054,NESTLEBLUE,"NESTLE BLUE LEMONADE 16OZ     ",90005,100,110,102,102,1
800047,2800047900053,NESTLEBLUE,"NESTLE BLUE LEMONADE 22OZ     ",90005,100,110,102,102,1
800048,4800361382434,NESTLEORAN,"NESTLE ORANGE JUICE 12x200G   ",80003,100,110,102,103,3
800049,2800049900051,NESTEAORAN,"NESTEA ORANGE JUICE 12OZ      ",90005,100,110,102,102,1
800050,2800050900057,NESTEAORAN,"NESTEA ORANGE JUICE 16OZ      ",90005,100,110,102,102,1
800051,2800051900056,NESTEAORAN,"NESTEA ORANGE JUICE 22OZ      ",90005,100,110,102,102,1
800052,4800361382458,NESTLEPINE,"NESTLE PINEAPPLE JUICE 12X200G",80003,100,110,102,103,3
800053,2800053900054,NESTEAPINE,"NESTEA PINEAPPLE JUICE 12OZ   ",90005,100,110,102,102,1
800054,2800054900053,NESTEAPINE,"NESTEA PINEAPPLE JUICE 16OZ   ",90005,100,110,102,102,1
800055,2800055900052,NESTEAPINE,"NESTEA PINEAPPLE JUICE 22OZ   ",90005,100,110,102,102,1
800056,4800361324373,NESCAFEICE,"NESCAFE ICE SHAKE 12 x 1k     ",80003,100,110,104,103,3
800057,2800057900050,NESCAFESHA,"NESCAFE SHAKE 12OZ            ",90005,100,110,104,102,1
800058,2800058900059,NESCAFESHA,"NESCAFE SHAKE 16OZ            ",90005,100,110,104,102,1
800059,2800059900058,NESCAFESHA,"NESCAFE SHAKE 22OZ            ",90005,100,110,104,102,1
800060,2800060900221,COCACOLACO,"COCA COLA CO2 TANK 20LBS      ",90022,100,110,103,104,3
800061,4801981077007,COKESYRUPB,"COKE SYRUP BIB                ",90022,100,110,103,104,3
800062,2800062209995,"COKEOZ    ","COKE 12OZ                     ",20999,100,110,103,103,1
800063,2800063209994,"COKEOZ    ","COKE 16OZ                     ",20999,100,110,103,103,1
800064,2800064209993,"COKEOZ    ","COKE 22OZ                     ",20999,100,110,103,103,1
800065,4801981076277,COKELIGHTS,"COKE LIGHT SYRUP BIB          ",90022,100,110,103,104,3
800066,2800066209991,COKELIGHTO,"COKE LIGHT 12OZ               ",20999,100,110,103,101,1
800067,2800067209990,COKELIGHTO,"COKE LIGHT 16OZ               ",20999,100,110,103,101,1
800068,2800068209999,COKELIGHTO,"COKE LIGHT 22OZ               ",20999,100,110,103,101,1
800069,4801981076642,COKEZEROSY,"COKE ZERO SYRUP BIB           ",90022,100,110,103,104,3
800070,2800070209994,COKEZEROOZ,"COKE ZERO 12OZ                ",20999,100,110,103,101,1
800071,2800071209993,COKEZEROOZ,"COKE ZERO 16OZ                ",20999,100,110,103,101,1
800072,2800072209992,COKEZEROOZ,"COKE ZERO 22OZ                ",20999,100,110,103,101,1
800073,4801981077205,SPRITESYRU,"SPRITE SYRUP BIB              ",90022,100,110,103,104,3
800074,2800074209990,"SPRITEOZ  ","SPRITE 12OZ                   ",20999,100,110,103,103,1
800075,2800075209999,"SPRITEOZ  ","SPRITE 16OZ                   ",20999,100,110,103,103,1
800076,2800076209998,"SPRITEOZ  ","SPRITE 22OZ                   ",20999,100,110,103,103,1
800077,4801981077236,SARSISYRUP,"SARSI SYRUP BIB               ",90022,100,110,103,104,3
800078,2800078209996,"SARSIOZ   ","SARSI 12OZ                    ",20999,100,110,103,103,1
800079,2800079209995,"SARSIOZ   ","SARSI 16OZ                    ",20999,100,110,103,103,1
800080,2800080209991,"SARSIOZ   ","SARSI 22OZ                    ",20999,100,110,103,103,1
800081,2800081900064,"HAMBURGER ","HAMBURGER                     ",90006,100,120,113,101,0
800082,2800082900063,CHEESEBURG,"CHEESEBURGER                  ",90006,100,120,113,101,0
800083,2800083900062,FISHBURGER,"FISH BURGER                   ",90006,100,120,113,101,0
800084,2800084900061,CHICKENBUR,"CHICKEN BURGER                ",90006,100,120,113,101,0
800085,2800085900077,SMOKEDHAMS,"SMOKED HAM SWISSCHESE SANDWICH",90007,100,120,112,101,0
800086,2800086900076,CHXCAESARP,"CHX CAESAR PARMESNCHESE SNDWCH",90007,100,120,112,101,0
800087,2800087900075,PULLEDPORK,"PULLED PORK BBQ SANDWICH      ",90007,100,120,112,101,0
800088,2800088900074,GARLCSAUSA,"GARLC SAUSAG CREAMCHESE SNDWCH",90007,100,120,112,101,0
800089,2800089900073,HOTDOGBUNI,"HOTDOG BUN 5IN 6S             ",90007,100,110,106,105,2
800090,2800090900154,CATSUPTOMA,"CATSUP TOMATO 4X250S          ",80009,100,110,106,105,0
800091,2800091900153,"MUSTARDXS ","MUSTARD 4X250S                ",80009,100,110,106,105,2
800092,2800092900084,HOTDOGBOXS,"HOTDOG BOX 200S               ",80007,500,510,501,502,0
800093,2800093900090,TJKINGSIZE,"TJ KING SIZE 6IN 1.25KG 15S   ",90009,100,110,106,105,2
800094,2800094900105,WIENERJULI,"WIENER JULIOS 6IN 500G 7S     ",90010,100,110,106,105,2
800095,2800095209993,TJKINGSIZE,"TJ KING SIZE HOTDOG SANDWICH  ",20999,100,110,106,102,1
800096,2800096209992,WIENERALLM,"WIENER ALL-MEAT HOTDOG SANDWCH",20999,100,110,106,102,1
800097,2800097900119,BELGIANCON,"BELGIAN CONE PLAIN 144S       ",90011,100,110,105,103,2
800098,2800098900118,BELGIANCON,"BELGIAN CONE SLEEVE 144S      ",90011,500,510,501,502,2
800099,2800099900124,VANILLACOM,"VANILLA COMPRITAL PANA 8X1.6KG",80005,100,110,105,103,3
800100,2800100900129,MILKFORSOF,"MILK FOR SOFT SERVE 16x1LTR   ",80005,100,110,105,103,3
800101,2800101209993,VANILLASUN,"VANILLA SUNDAE CONE           ",20999,100,110,105,102,1
800102,2800102900134,PORKTOCINO,"PORK TOCINO & EGG RICE MEAL   ",90013,100,120,110,102,0
800105,2800105900131,PORKASADOR,"PORK ASADO RICE MEAL          ",90013,100,120,110,102,0
800106,2800106900130,KOREANPORK,"KOREAN PORK RICE MEAL         ",90013,100,120,110,102,0
800107,2800107900139,CHICKENADO,"CHICKEN ADOBO RICE MEAL       ",90013,100,120,110,102,0
800108,2800108900145,KATSUDON(W,"KATSUDON (W JAPANESE RICE)    ",90014,100,120,110,101,0
800109,2800109900144,OMURICE(OM,"OMU RICE (OMELETTE FRIED RICE)",90014,100,120,110,101,0
800110,2800110900140,CHASOBA(CO,"CHA SOBA (COLD NOODLES)       ",90014,100,120,111,101,0
800111,2800111900149,CALIFORNIA,"CALIFORNIA MAKI 6PCS          ",90014,100,120,110,101,0
800112,2800112900148,SUSHITRAYP,"SUSHI TRAY 4PCS               ",90014,100,120,110,101,0
800113,2800113900147,ONIGIRITUN,"ONIGIRI TUNA MAYO (RICE BALL) ",90014,100,120,110,101,0
800114,2800114900146,ONIGIRIFUR,"ONIGIRI FURIKAKE (RICE BALL)  ",90014,100,120,110,101,0
800115,2800115900138,PANSITMALA,"PANSIT MALABON                ",90013,100,120,111,102,0
800116,2800116900137,PANSITBIHO,"PANSIT BIHON                  ",90013,100,120,111,102,0
800117,2800117900136,PANSITCANT,"PANSIT CANTON                 ",90013,100,120,111,102,0
800118,2800118900159,SIOPAOSAUC,"SIOPAO SAUCE 4X250S           ",80009,100,110,107,103,0
800119,2800119900165,PAPERWRAPP,"PAPER WRAPPER SMALL 24X500S   ",80006,500,510,501,502,0
800120,2800120900178,SIOPAOCHIC,"SIOPAO CHICKEN BOLA-BOLA 4S   ",90017,100,110,107,103,2
800121,2800121900177,SIOPAOPORK,"SIOPAO PORK ASADO 4S          ",90017,100,110,107,103,2
800122,2800122209996,SIOPAOCHIC,"SIOPAO CHICKEN BOLA-BOLA      ",20999,100,110,107,102,1
800123,2800123209995,SIOPAOPORK,"SIOPAO PORK ASADO             ",20999,100,110,107,102,1
800124,2800124900181,DOLEBANANA,"DOLE BANANA SINGLES 20S       ",90018,100,120,116,103,2
800125,2800125209993,DOLEBANANA,"DOLE BANANA SINGLE            ",20999,100,120,116,103,1
800126,4800009040924,DOLEAPPLES,"DOLE APPLE SLICES 120G        ",90018,100,120,116,102,0
800127,2800127900188,FRUITCUPPI,"FRUIT CUP - PINE POM MELON    ",90018,100,120,116,101,0
800128,2800128900187,FRUITCUPPI,"FRUIT CUP - PINE POM PAPAYA   ",90018,100,120,116,101,0
800129,2800129900186,FRUITCUPME,"FRUIT CUP - MEL HDEW & CAN    ",90018,100,120,116,101,0
800130,2800130900168,PAPERWRAPP,"PAPER WRAPPER LARGE 24X500S   ",80006,500,510,501,502,0
800131,2800131900198,TUNAPANDES,"TUNA PANDESAL 6S              ",90025,100,110,108,101,2
800132,2800132900197,CHORIZOPAN,"CHORIZO PANDESAL 6S           ",90025,100,110,108,101,2
800133,2800133900196,CORNEDBEEF,"CORNED BEEF PANDESAL 6S       ",90025,100,110,108,101,2
800134,2800134900201,MAPLEGLAZE,"MAPLE GLAZED DONUT 6S         ",90020,100,110,109,102,2
800135,2800135900200,BOSTONCREA,"BOSTON CREAM DONUT 6S         ",90020,100,110,109,102,2
800136,2800136900209,CHICKENTER,"CHICKEN TERIYAKI ROLLS 6S     ",90020,100,110,108,101,2
800137,2800137900208,SAUSAGEROL,"SAUSAGE ROLLS 6S              ",90020,100,110,108,101,2
800138,2800138900207,CHICKENCUR,"CHICKEN CURRY TURNOVER 6S     ",90020,100,110,109,101,2
800139,2800139900206,HAMCHEESEC,"HAM & CHEESE CROISSANT 6S     ",90020,100,110,109,101,2
800140,2800140900202,SOFTCINNAM,"SOFT CINNAMON 6S              ",90020,100,110,109,102,2
800141,2800141209991,TUNAPANDES,"TUNA PANDESAL                 ",20999,100,110,108,101,1
800142,2800142209990,CHORIZOPAN,"CHORIZO PANDESAL              ",20999,100,110,108,101,1
800143,2800143209999,CORNEDBEEF,"CORNED BEEF PANDESAL          ",20999,100,110,108,101,1
800144,2800144209998,MAPLEGLAZE,"MAPLE GLAZED DONUT            ",20999,100,110,109,102,1
800145,2800145209997,BOSTONCREA,"BOSTON CREAM DONUT            ",20999,100,110,109,102,1
800146,2800146209996,CHICKENTER,"CHICKEN TERIYAKI ROLL         ",20999,100,110,108,101,1
800147,2800147209995,SAUSAGEROL,"SAUSAGE ROLL                  ",20999,100,110,108,101,1
800148,2800148209994,CHICKENCUR,"CHICKEN CURRY TURNOVER        ",20999,100,110,109,101,1
800149,2800149209993,HAMCHEESEC,"HAM & CHEESE CROISSANT        ",20999,100,110,109,101,1
800150,2800150209999,SOFTCINNAM,"SOFT CINNAMON                 ",20999,100,110,109,102,1
800151,2800151900215,FRENCHFRIE,"FRENCH FRIES 2.27KG           ",90021,100,110,106,105,3
800152,2800152900085,"FRIESBOXS ","FRIES BOX 200S                ",80007,500,510,501,502,0
800153,2800153209996,FRENCHFRIE,"FRENCH FRIES 150G             ",20999,100,110,106,104,1
800154,2800154900243,"CHICKENXS ","CHICKEN 6 X 6S                ",90024,100,110,106,105,2
800155,2800155900242,GRAVYMIXXG,"GRAVY MIX 3 x 40G             ",90024,100,110,106,105,3
800156,2800156900241,GRAVYCUPBA,"GRAVY CUP BASE 30ML           ",90024,500,510,501,502,2
800157,2800157900240,GRAVYCUPLI,"GRAVY CUP LID 30ML            ",90024,500,510,501,502,2
800158,2800158900249,PALMCOOKIN,"PALM COOKING OIL 17KG TIN     ",90024,100,110,106,105,3
800159,2800159900163,RICEWRAPPE,"RICE WRAPPER                  ",80006,500,510,501,502,0
800160,2800160900138,RICEGRAINS,"RICE GRAINS 5KG PACK          ",90013,100,110,106,105,3
800161,2800161900083,CHICKENBOX,"CHICKEN BOX 200S              ",80007,500,510,501,502,0
800162,2800162209994,PCFRIEDCHI,"1PC FRIED CHICKEN RICE MEAL   ",20999,100,110,106,101,1
800163,2800163209993,PCFRIEDCHI,"1PC FRIED CHICKEN FRIES MEAL  ",20999,100,110,106,101,1
800164,2800164209992,CUPPLAINRI,"1 CUP PLAIN RICE              ",20999,100,110,106,101,1
800165,2800165209991,CUPEXTRAGR,"1 CUP EXTRA GRAVY             ",20999,100,110,106,101,1
800166,2800166900071,CHEESEPAND,"Cheese Pandesal               ",90007,100,110,108,102,0
800167,2800167900070,"PANDEBUCO ","Pan de Buco                   ",90007,100,110,108,102,0
800168,2800168900079,CHEESEENSA,"CHEESE ENSAYMADA              ",90007,100,110,108,102,0
800169,2800169900078,"MAMON     ","Mamon                         ",90007,100,110,108,102,0
800170,2800170900074,"EGGPIE    ","Egg Pie                       ",90007,100,110,108,102,0
800171,2800171900073,CINNAMONRO,"CINNAMON ROLL MEP             ",90007,100,110,108,102,0
800172,2800172209991,PCFRIEDCHI,"2PC FRIED CHICKEN RICE MEAL   ",20999,100,110,106,101,1
800173,2800173209990,TJKINGSIZE,"TJ KING SIZE HOTDOG W/ RICE   ",20999,100,110,106,102,1
800174,2800174900124,GREENTEAPO,"GREEN TEA POWDER SET          ",80005,100,110,105,103,3
800175,2800175209998,GREENTEASU,"GREEN TEA SUNDAE CONE         ",20999,100,110,105,101,1
800176,2800176900146,ONIGIRISPA,"ONIGIRI SPAM (RICE BALL)      ",90014,100,120,110,101,0
800177,2800177900145,ONIGIRILON,"ONIGIRI LONGGANISA (RICE BALL)",90014,100,120,110,101,0
800178,2800178900144,TERIYAKICH,"TERIYAKI CHICKEN DON          ",90014,100,120,110,101,0
800179,2800179900143,BURGERSTEA,"BURGER STEAK DON              ",90014,100,120,110,101,0
800180,2800180900118,BELGIANCON,"BELGIAN CONE CHOCOLATE 144S   ",90011,100,110,105,103,2
800181,2800181900186,FRUITCUPRE,"FRUIT CUP - REDWHTEDRAGON PINE",90018,100,120,116,101,0
800182,2800182900185,FRUITCUPRE,"FRUIT CUP - REDWHTEDRAGON MEL ",90018,100,120,116,101,0
800183,2800183900061,JAPANESEMI,"JAPANESE MINI CHEESECAKE      ",90006,100,110,109,102,0
800184,2800184900138,KANISALADS,"KANI SALAD SESAME DRSSING 125G",90013,100,120,115,101,0
800185,2800185900137,GARDENSALA,"GARDEN SALAD RANCH 135G       ",90013,100,120,115,101,0
800186,2800186900075,BLUEBERRYW,"BLUEBERRY WHEAT BUN           ",90007,100,110,108,102,0
800187,2800187900074,CORNEDBEEF,"CORNED BEEF PANDESAL MEP      ",90007,100,110,108,101,0
800188,2800188900073,TUNAPANDES,"TUNA PANDESAL MEP             ",90007,100,110,108,101,0
800189,2800189900072,SPAMANDEGG,"SPAM AND EGG PANDESAL MEP     ",90007,100,110,108,101,0
800190,2800190900078,"MONGGOBUN ","MONGGO BUN                    ",90007,100,110,108,102,0
800191,2800191900077,HAMANDEGGR,"HAM AND EGG ROLL              ",90007,100,110,108,101,0
800192,2800192900076,"COFFEEBUN ","COFFEE BUN                    ",90007,100,110,108,102,0
800193,2800193900075,CHEESEROLL,"CHEESE ROLL                   ",90007,100,110,108,102,0
800194,2800194209993,MIXEDGTEAV,"MIXED GTEA VANILLA SUNDAE CONE",20999,100,110,105,101,1
800195,2800195209992,LIGHTCARRO,"LIGHT CARROT SLICE A          ",20999,100,120,117,101,0
800196,2800196209991,CHOCOBANAN,"CHOCO BANANA WALNUT SLICE A   ",20999,100,120,117,101,0
800197,2800197900200,LIGHTCARRO,"LIGHT CARROT LOAF A           ",90020,100,120,117,101,0
800198,2800198900209,CHOCOBANAN,"CHOCO BANANA WALNUT LOAF A    ",90020,100,120,117,101,0
800199,2800199900260,BURGERROLL,"BURGER ROLL A                 ",90026,100,110,109,101,0
800200,2800200900265,"CHOCOBUNA ","CHOCO BUN A                   ",90026,100,110,109,102,0
800201,2800201900264,APPLESTRUD,"APPLE STRUDEL A               ",90026,100,110,109,102,0
800202,2800202900263,GREENTEACR,"GREEN TEA CROISSANT A         ",90026,100,110,109,102,0
800203,2800203900149,KARUBIRAME,"KARUBI RAMEN                  ",90014,100,120,111,101,0
800204,2800204900148,TOKYORAMEN,"TOKYO RAMEN                   ",90014,100,120,111,101,0
800205,2800205900147,CORNEDBEEF,"CORNED BEEF & EGG RICE MEAL   ",90013,100,120,110,102,0
800206,2800206900139,PORKLONGGA,"PORK LONGGANISA EGG RICE MEAL ",90013,100,120,110,102,0
800207,2800207209996,PROMOCOKEO,"PROMO-COKE 12OZ               ",20999,100,110,103,102,1
800208,2800208209995,PROMOCOKEL,"PROMO-COKE LIGHT 12OZ         ",20999,100,110,103,102,1
800209,2800209209994,PROMOSPRIT,"PROMO-SPRITE 12OZ             ",20999,100,110,103,102,1
800210,2800210209990,PROMOSARSI,"PROMO-SARSI 12OZ              ",20999,100,110,103,102,1
800211,2800211209999,PROMOCOKEZ,"PROMO-COKE ZERO 12OZ          ",20999,100,110,103,102,1
800212,2800212209998,PROMONESTL,"PROMO-NESTLE JUICE 12OZ       ",20999,100,110,102,102,0
800213,2800213900078,BREADEDPOR,"BREADED PORK APLE EMMNTALCHESE",90007,100,120,112,101,0
800214,2800214209996,VALUEMEALD,"VALUE MEAL-DRINK UPSIZE 16OZ  ",20999,100,110,102,102,0
800215,2800215209995,VALUEMEALD,"VALUE MEAL-DRINK UPSIZE 22OZ  ",20999,100,110,102,102,0
800216,2800216900136,ITALIANSPA,"ITALIAN SPAGHETTI MEATBALLS   ",90013,100,120,111,103,0
800217,2800217900135,CHICKENALF,"CHICKEN ALFREDO PASTA         ",90013,100,120,111,103,0
800218,2800218900134,MACARONIAN,"MACARONI AND CHEESE           ",90013,100,120,111,103,0
800219,2800219900065,KANITRIANG,"KANI TRIANGLE SANDWICH        ",90006,100,120,112,102,0
800220,2800220900061,CHEESESTEA,"CHEESESTEAK TRIANGLE SANDWICH ",90006,100,120,112,102,0
800221,2800221900060,BACONEGGTR,"BACON EGG TRIANGLE SANDWICH   ",90006,100,120,112,102,0
800222,2800222900045,COFFEEBEAN,"COFFEE BEANS ARABICA 500G     ",80004,100,110,101,103,0
800223,2800223900143,ONIGIRISPI,"ONIGIRI SPICY CHX (RICE BALL) ",90014,100,120,110,101,0
800224,2800224900142,"FUTOMAKI  ","FUTO MAKI                     ",90014,100,120,110,101,0
800225,2800225900073,VIENNASAUS,"VIENNASAUSAGE CHESE PANDSL MEP",90007,100,110,108,101,0
800226,2800226900133,FISHTAUSIR,"FISH TAUSI RICE MEAL          ",90013,100,120,110,102,0
800227,2800227900132,BEEFCALDER,"BEEF CALDERETA RICE MEAL      ",90013,100,120,110,102,0
800228,2800228800035,PROMONESCA,"PROMO-NESCAFE ICE SHAKE 12x1k ",80003,100,110,104,103,2
800229,2800229900055,PROMONESCA,"PROMO-NESCAFE SHAKE 12OZ      ",90005,100,110,104,102,1
800230,2800230900051,PROMONESCA,"PROMO-NESCAFE SHAKE 16OZ      ",90005,100,110,104,102,1
800231,2800231900050,PROMONESCA,"PROMO-NESCAFE SHAKE 22OZ      ",90005,100,110,104,102,1
800232,2800232900073,CHOCOMANBU,"CHOCOMAN BUN B                ",90007,100,110,109,102,0
800233,2800233900072,VANILLABUN,"VANILLA BUN B                 ",90007,100,110,109,102,0
800234,2800234900132,ARROZALACU,"ARROZ ALA CUBANA RICE MEAL    ",90013,100,120,110,102,0
800235,2800235209999,PCFRIEDCHI,"1PC FRIED CHICKEN (no rice)   ",20999,100,110,106,101,1
800240,,CHICKENBAC,"CHICKEN BACOn & EGG SALAD SAND",90007,100,120,112,101,0
800500,,COFFEEBEAN,"COFFEE BEANS PER GRAM         ",80004,100,110,101,103,4
800501,,MILKPOWDER,"MILK POWDER PER GRAM          ",80004,100,110,101,103,4
800502,,MILKCHOCOP,"MILK CHOCO POWDER PER GRAM    ",80004,100,110,101,103,4
800503,,NESCAFECAR,"NESCAFE CARAMEL MACCHIATO GRAM",80003,100,110,101,103,4
800504,,NESCAFECAP,"NESCAFE CAPPUCCINO GRAM       ",80003,100,110,101,103,4
800505,,NESCAFECLA,"NESCAFE CLASSIC 12X250 PER GRM",80003,100,110,101,103,4
800506,,MILONPROHO,"MILO NPRO HOT MIX 8X1 PER GRAM",80003,100,110,101,103,4
