sku,upc,short_description,description,vendor,dept_code,sub_dept,class,sub_class,set_code
600001,2600016000018,PLASTICBAG,"Plastic Bag #6                ",60001,500,510,501,501,0
600002,2600016000025,PLASTICBAG,"Plastic Bag #8                ",60001,500,510,501,501,0
600003,2600016000032,PLASTICBAG,"Plastic Bag #45               ",60001,500,510,501,501,0
600004,2600016000049,PLASTICBAG,"Plastic Bag Bentou Small      ",60001,500,510,501,501,0
600005,2600016000056,PLASTICBAG,"Plastic Bag Bentou Large      ",60001,500,510,501,501,0
600006,2600016000063,PAPERBAGKR,"Paper Bag #1 - Kraft Paper    ",60005,500,510,501,501,0
600007,2600016000070,PAPERBAGKR,"Paper Bag #3 - Kraft Paper    ",60005,500,510,501,501,0
600008,2600016000087,PAPERBAGKR,"Paper Bag #5 - Kraft paper    ",60005,500,510,501,501,0
600009,2600016000094,PAPERBAGKR,"Paper Bag #6 - Kraft Paper    ",60005,500,510,501,501,0
600010,2600016000100,TABLENAPKI,"Table Napkin                  ",60005,500,510,501,501,0
600011,2600016000117,MEDIUMBLAC,"Medium Black Spoon            ",60001,500,510,501,501,0
600012,2600016000124,MEDIUMBLAC,"Medium Black Fork             ",60001,500,510,501,501,0
600013,2600016000131,MEDIUMBLAC,"Medium Black Knife            ",60001,500,510,501,501,0
600014,2600016000148,MEDIUMBLAC,"Medium Black Spoon & Fork     ",60001,500,510,501,501,0
600015,2600016000155,DRINKINGST,"Drinking Straw                ",60001,500,510,501,501,0
600016,2600016000162,MUDDLERCRI,"Muddler Crip                  ",60001,500,510,501,501,0
600017,2600016000179,TOILETTISS,"Toilet Tissue                 ",60005,500,510,501,501,0
600018,2600016000186,INTERFOLDE,"Inter Folded Paper Towel      ",60005,500,510,501,501,0
600019,2600016000193,ALLPURPOSE,"All purpose cleaner (Suma Pan)",60002,500,510,501,501,0
600020,2600016000209,ALLPURPOSE,"All purpose sanitizer Diversol",60002,500,510,501,501,0
600021,2600016000216,HANDSANITI,"Hand sanitizer (Soft Care)    ",60002,500,510,501,501,0
600022,2600016000223,HANDSOAP(L,"Hand soap (Leversoft)         ",60002,500,510,501,501,0
600023,2600016000230,TOILETBOWL,"Toilet bowl cleaner Go getter ",60002,500,510,501,501,0
600024,2600016000247,FRYERCLEAN,"Fryer Cleaner (BreakUp)       ",60002,500,510,501,501,0
600025,2600016000254,THERMALROL,"Thermal Roll                  ",60004,500,510,501,501,0
600026,2600016000261,TRASHBAGME,"Trash Bag Medium 22 x 24      ",60001,500,510,501,501,0
600027,2600016000278,TRASHBAGXL,"Trash Bag X Large 30 x 37     ",60001,500,510,501,501,0
600028,2600016000285,TRASHBAGXX,"Trash Bag XX Large 37 x 40    ",60001,500,510,501,501,0
600029,2600016000292,NONWOVENBA,"NON WOVEN BAG (Design 1)      ",60005,400,410,406,406,0
600032,2600066000327,STARCHWARE,"STARCHWARE SPOON              ",60006,500,510,501,501,0
600033,2600066000334,STARCHWARE,"STARCHWARE FORK               ",60006,500,510,501,501,0
600034,2600066000341,STARCHWARE,"STARCHWARE KNIFE              ",60006,500,510,501,501,0
600035,2600066000358,STARCHWARE,"STARCHWARE STIRRER            ",60006,500,510,501,501,0
800001,2800001900037,PAPERCUPHO,"PAPER CUP HOT 8OZ 1000S       ",80008,500,510,501,502,2
800002,2800002900036,PAPERCUPHO,"PAPER CUP HOT 12OZ 1000S      ",80008,500,510,501,502,2
800003,2800003900035,BLACKLIDHO,"BLACK LID HOT CUP 80mm 1000S  ",80008,500,510,501,502,2
800004,2800004900034,BLACKLIDHO,"BLACK LID HOT CUP 90mm 1000S  ",80008,500,510,501,502,2
800006,2800006900025,PAPERCUPCO,"PAPER CUP COLD STICKER 2500S  ",80002,500,510,501,502,0
800007,2800007900031,PAPERCUPCO,"PAPER CUP COLD 12OZ 1000S     ",80008,500,510,501,502,2
800008,2800008900030,PAPERCUPCO,"PAPER CUP COLD 16OZ 1000S     ",80008,500,510,501,502,2
800009,2800009900039,PAPERCUPCO,"PAPER CUP COLD 22OZ 1000S     ",80008,500,510,501,502,2
800010,2800010900035,FLATCLEARL,"FLAT CLEAR LID COLD CUP 2000S ",80008,500,510,501,502,2
800011,2800011900041,SPLENDASUG,"SPLENDA SUGAR SACHET 1000S    ",80004,100,110,101,103,2
800012,2800012900040,WHITESUGAR,"WHITE SUGAR SACHET 1000X7G    ",80004,100,110,101,103,2
800013,2800013900049,BROWNSUGAR,"BROWN SUGAR SACHET 1000X7G    ",80004,100,110,101,103,2
800014,2800014900048,CREAMERSAC,"CREAMER SACHET 1000X3G        ",80004,100,110,101,103,2
800015,2800015900047,COFFEEBEAN,"COFFEE BEANS 500G PACK        ",80004,100,110,101,103,3
800016,2800016900046,CAFEAMERIC,"CAFE AMERICANO HOT 8OZ        ",90004,100,110,101,101,1
